id	filename	md5	size	state
dae9460c-3434-40e6-96d1-34b458464c4d	G49538.TCGA-06-0171-10A-01D-A33C-08.2.bam	8a195f372acb56ca9d6c987a9702313d	216734784904	live
0ed1dc06-a73c-49cc-bfc5-99496a9fc3d1	G49538.TCGA-06-0210-10A-01D-1491-08.1.bam	857c77120dd9ea18c1fb4a7d01599983	183837986988	live
8b9dc3cd-2c99-405c-8306-3b388ad5bdf6	TCGA-CS-4938-01B-11D-1891_130919_SN590_0238_AC29TRACXX_s_1_rg.sorted.bam	d1c9a52bef7004c10ec0f25367ce3427	13978983194	live
7b00539d-b389-4e45-b200-b742550d68d3	TCGA-HT-7481-10A-01D-2022_130913_SN1440_0168_BD2B0UACXX_s_5_rg.sorted.bam	c3f5dc4bec670d641f4ceb62fba159f4	21407160596	live
0c3613f1-9a5e-42d1-a1a9-884cf56894f4	TCGA-HT-7473-01A-11D-2022_130913_SN1440_0167_AC2A6PACXX_s_4_rg.sorted.bam	9387cd694cac1200902dbe67c53b327f	22757740355	live
cf62b63d-2102-4de2-9286-867afe868a79	G35154.TCGA-FG-8182-10A-01D-2253-08.4.bam	102c78cbd99bee6e79692e92859d4faf	127811878073	live
8e6db5b3-96e4-4a80-9604-99a9433a1bb5	G35154.TCGA-FG-5965-01B-11D-1893-08.2.bam	8f439c0ae26f98d2869aeb1ec8bee528	316407389818	live
8d315f21-d285-46ed-b707-ff48d1be543d	G35154.TCGA-DU-7301-10A-01D-2086-08.2.bam	d52865709c34ec8e93d8e0c319f80093	163824333293	live
7069c071-1fef-4c6f-b741-c67ee56619bb	G35154.TCGA-CS-6669-01A-11D-1893-08.5.bam	0a0730c019055b80406ba441703bc0b4	260080596322	live
9e07a7ab-1033-43c4-a4f4-49ba35319fea	TCGA-FG-6689-01A-11D-1891_130923_SN1222_0220_BC2DUUACXX_s_1_rg.sorted.bam	46069e61031f5b2102e108369d36f4f2	12547618546	live
303ebcff-0840-40c9-bba1-2f343a9883a3	G35154.TCGA-HT-A61B-10A-01D-A29Q-08.2.bam	f9d1f05f9d3ba7fe61a48c0c63c4f584	113413339995	live
9d827820-042a-412f-ae10-1f97190c446d	G35154.TCGA-CS-6665-01A-11D-1893-08.2.bam	c34decf8dc07cd54293b765dcd7c6361	285709104189	live
7f2ad00f-02aa-4094-9662-9e8092d240e1	G35154.TCGA-DU-7304-02A-12D-A36O-08.4.bam	285bfdef20315d57027fb2c0fe77a87a	306169525703	live
9aa21497-15c7-4c07-a97a-322fac13beae	G35154.TCGA-DU-7013-10A-01D-A461-08.1.bam	d82e7d9edeb3a8c7ec1b58979ec938cf	123306203237	live
f499956c-7655-4be7-8a53-44403d30ea04	TCGA-DU-5854-01A-11D-1703_130806_SN1440_0159_BC29Y3ACXX_s_1_rg.sorted.bam	587d05078f231dc14dceae9c48ce3196	32166957773	live
a1c991b7-fe00-4252-815c-ac64d737bcff	G26362.TCGA-06-0157-01A-01D-1491-08.1.bam	178d566ba17fd5fc2bb85da345c177df	175842644203	live
4b6cb752-5ed6-42e5-aed5-c8bdc6b95945	TCGA-DU-6542-01A-11D-1891_130919_SN590_0238_AC29TRACXX_s_2_rg.sorted.bam	2a70464c6ce8bb1290dd1e5fdc9e3789	11496633539	live
fb816713-22f8-4650-a51e-d1dc31150849	TCGA-DU-7294-10A-01D-2022_130911_SN1222_0218_BC2A1NACXX_s_4_rg.sorted.bam	a68681269022623f92171530cef7fa91	17610242680	live
a76674c6-34c4-4c06-b7e4-eb602b3bc5fa	TCGA-DU-5847-01A-11D-1703_130806_SN1222_0209_AD2AW0ACXX_s_3_rg.sorted.bam	e697b822cbdd586fd2e2374c163548a7	35752845068	live
64785886-d0ac-4d98-aa1e-77ceabff67f6	G26363.TCGA-19-2624-10A-01D-1495-08.2.bam	9d4bfe48811a52da2a2b67589d1dc8fa	200965351530	live
d184ed85-cb21-43cc-95f6-0619f9283b29	G35154.TCGA-DU-6397-02A-12D-A36O-08.3.bam	2ef77b1027dc36c0b5d6ed0078f681ba	304596628085	live
8eda6747-01ab-4378-b3c9-6f638de37412	TCGA-HT-7476-01A-11D-2022_130913_SN1440_0167_AC2A6PACXX_s_6_rg.sorted.bam	4a1f1c67e1179b4070684ca4ccc7a652	22478413864	live
