  ,Paired Raw R1 Read Count,hg38 unaligned Count,RMHM viral aligned Count,RMHM viral q20 l20 aligned Count,RMHM viral q20 l30 aligned Count,RMHM viral q20 l40 aligned Count,RMHM viral q20 l50 aligned Count,RMHM viral q25 l20 aligned Count,RMHM viral q25 l30 aligned Count,RMHM viral q25 l40 aligned Count,RMHM viral q25 l50 aligned Count,RMHM viral q30 l20 aligned Count,RMHM viral q30 l30 aligned Count,RMHM viral q30 l40 aligned Count,RMHM viral q30 l50 aligned Count
06-0238-01A-02R-1849-01+1,65888803,1485957,188273,,,,,,,,,,,,
06-0238-01A-02R-1849-01+2,39144186,808426,61886,,,,,,,,,,,,
06-0644-01A-02R-1849-01+1,42003587,739025,98129,,,,,,,,,,,,
06-0644-01A-02R-1849-01+2,64221908,1378630,208535,,,,,,,,,,,,
06-0645-01A-01R-1849-01+1,39128281,781409,118670,,,,,,,,,,,,
06-0645-01A-01R-1849-01+2,60441497,1377399,227346,,,,,,,,,,,,
06-0646-01A-01R-1849-01+1,59306156,1567870,269993,,,,,,,,,,,,
06-0646-01A-01R-1849-01+2,40800987,999543,173807,,,,,,,,,,,,
06-0649-01B-01R-1849-01+1,63299283,2738727,711497,,,,,,,,,,,,
06-0649-01B-01R-1849-01+2,41493817,1991880,570898,,,,,,,,,,,,
06-0675-11A-32R-A36H-07+1,63100611,1754328,17945,,,,,,,,,,,,
06-0678-11A-32R-A36H-07+1,58181132,1416132,16810,,,,,,,,,,,,
06-0680-11A-32R-A36H-07+1,68897779,1466558,21291,,,,,,,,,,,,
06-0681-11A-41R-A36H-07+1,64132327,1372671,20283,,,,,,,,,,,,
06-0686-01A-01R-1849-01+1,64091712,10677056,5489858,,,,,,,,,,,,
06-0686-01A-01R-1849-01+2,47966564,9964178,5208920,,,,,,,,,,,,
06-0743-01A-01R-1849-01+1,61213555,1524636,215231,,,,,,,,,,,,
06-0743-01A-01R-1849-01+2,39774280,883330,107678,,,,,,,,,,,,
06-0744-01A-01R-1849-01+1,39886407,975122,139593,,,,,,,,,,,,
06-0744-01A-01R-1849-01+2,62148179,1606839,250383,,,,,,,,,,,,
06-0745-01A-01R-1849-01+1,76836531,1665357,231418,,,,,,,,,,,,
06-0745-01A-01R-1849-01+2,45907714,854909,95197,,,,,,,,,,,,
06-0747-01A-01R-1849-01+1,45152134,1025473,158021,,,,,,,,,,,,
06-0747-01A-01R-1849-01+2,68441760,1769171,281679,,,,,,,,,,,,
06-0749-01A-01R-1849-01+1,59277660,1441288,221608,,,,,,,,,,,,
06-0749-01A-01R-1849-01+2,36746333,818033,112767,,,,,,,,,,,,
06-0750-01A-01R-1849-01+1,39667342,961184,196292,,,,,,,,,,,,
06-0750-01A-01R-1849-01+2,65354775,1643458,321072,,,,,,,,,,,,
06-0878-01A-01R-1849-01+1,49870505,4906751,902174,,,,,,,,,,,,
06-0878-01A-01R-1849-01+2,65514410,5742719,1110054,,,,,,,,,,,,
06-0882-01A-01R-1849-01+1,45387687,1646008,578365,,,,,,,,,,,,
06-0882-01A-01R-1849-01+2,68306606,2401152,701357,,,,,,,,,,,,
06-1804-01A-01R-1849-01+1,70036149,2161979,183400,,,,,,,,,,,,
06-1804-01A-01R-1849-01+2,45543800,1152804,60994,,,,,,,,,,,,
06-2557-01A-01R-1849-01+1,47733492,1385657,212504,,,,,,,,,,,,
06-2557-01A-01R-1849-01+2,70589064,2358378,451122,,,,,,,,,,,,
06-2558-01A-01R-1849-01+1,44844413,3357145,1680711,,,,,,,,,,,,
06-2558-01A-01R-1849-01+2,63601414,4044570,1812100,,,,,,,,,,,,
06-2559-01A-01R-1849-01+1,40916649,1549445,361616,,,,,,,,,,,,
06-2559-01A-01R-1849-01+2,58224338,2177207,453597,,,,,,,,,,,,
06-2561-01A-02R-1849-01+1,39113197,1707885,298387,,,,,,,,,,,,
06-2561-01A-02R-1849-01+2,59355577,2447710,399815,,,,,,,,,,,,
06-2562-01A-01R-1849-01+1,64686359,1675587,271327,,,,,,,,,,,,
06-2562-01A-01R-1849-01+2,44064796,1063122,174185,,,,,,,,,,,,
06-2563-01A-01R-1849-01+1,62788412,2654969,695849,,,,,,,,,,,,
