  ,Paired Raw R1 Read Count,hg38 unaligned Count,RMHM viral aligned Count,RMHM viral q20 l20 aligned Count,RMHM viral q20 l30 aligned Count,RMHM viral q20 l40 aligned Count,RMHM viral q20 l50 aligned Count,RMHM viral q25 l20 aligned Count,RMHM viral q25 l30 aligned Count,RMHM viral q25 l40 aligned Count,RMHM viral q25 l50 aligned Count,RMHM viral q30 l20 aligned Count,RMHM viral q30 l30 aligned Count,RMHM viral q30 l40 aligned Count,RMHM viral q30 l50 aligned Count
28-2514-01A-02R-1850-01+1,71805412,2794149,620319,,,,,,,,,,,,
28-2514-01A-02R-1850-01+2,48855105,2019832,500274,,,,,,,,,,,,
28-5204-01A-01R-1850-01+1,37194892,792606,61927,,,,,,,,,,,,
28-5204-01A-01R-1850-01+2,57909270,1595983,168476,,,,,,,,,,,,
28-5207-01A-01R-1850-01+1,37599506,1067876,102099,,,,,,,,,,,,
28-5207-01A-01R-1850-01+2,58488821,1884189,212716,,,,,,,,,,,,
28-5208-01A-01R-1850-01+1,41581624,1372263,214694,,,,,,,,,,,,
28-5208-01A-01R-1850-01+2,66382922,2269696,336779,,,,,,,,,,,,
28-5209-01A-01R-1850-01+1,66542510,1909677,234574,,,,,,,,,,,,
28-5209-01A-01R-1850-01+2,41839465,994394,112634,,,,,,,,,,,,
28-5213-01A-01R-1850-01+1,43222736,8642724,3823785,,,,,,,,,,,,
28-5213-01A-01R-1850-01+2,63388296,9839937,4154403,,,,,,,,,,,,
28-5215-01A-01R-1850-01+1,72483043,2049614,193714,,,,,,,,,,,,
28-5215-01A-01R-1850-01+2,44933519,1013069,67083,,,,,,,,,,,,
28-5216-01A-01R-1850-01+1,49357539,1454379,189749,,,,,,,,,,,,
28-5216-01A-01R-1850-01+2,30649887,776198,99109,,,,,,,,,,,,
28-5218-01A-01R-1850-01+1,33057370,687460,50110,,,,,,,,,,,,
28-5218-01A-01R-1850-01+2,54081597,1440891,145152,,,,,,,,,,,,
28-5220-01A-01R-1850-01+1,36936354,1754237,430025,,,,,,,,,,,,
28-5220-01A-01R-1850-01+2,60193686,2643597,573661,,,,,,,,,,,,
32-1970-01A-01R-1850-01+1,49442430,1775325,471506,,,,,,,,,,,,
32-1970-01A-01R-1850-01+2,72173008,2514267,590778,,,,,,,,,,,,
32-1980-01A-01R-1850-01+1,37557497,922403,83766,,,,,,,,,,,,
32-1980-01A-01R-1850-01+2,62506144,1797015,195409,,,,,,,,,,,,
32-1982-01A-01R-1850-01+1,61344439,12226166,5315132,,,,,,,,,,,,
32-1982-01A-01R-1850-01+2,47171424,11320537,5034978,,,,,,,,,,,,
32-2615-01A-01R-1850-01+1,83426741,2674769,722570,,,,,,,,,,,,
32-2615-01A-01R-1850-01+2,53849457,1789127,570757,,,,,,,,,,,,
32-2616-01A-01R-1850-01+1,50022239,956331,105495,,,,,,,,,,,,
32-2616-01A-01R-1850-01+2,78657046,1799818,225819,,,,,,,,,,,,
32-2632-01A-01R-1850-01+1,71403265,4200559,1481512,,,,,,,,,,,,
32-2632-01A-01R-1850-01+2,48757754,3456556,1329925,,,,,,,,,,,,
32-2634-01A-01R-1850-01+1,80529422,2026515,368816,,,,,,,,,,,,
32-2634-01A-01R-1850-01+2,53148440,1208056,244186,,,,,,,,,,,,
32-2638-01A-01R-1850-01+1,52048304,1433968,215408,,,,,,,,,,,,
32-2638-01A-01R-1850-01+2,80119595,2281304,345208,,,,,,,,,,,,
32-4213-01A-01R-1850-01+1,32012478,2681265,1015037,,,,,,,,,,,,
32-4213-01A-01R-1850-01+2,67667776,3729771,1355825,,,,,,,,,,,,
32-5222-01A-01R-1850-01+1,66204022,1779280,180454,,,,,,,,,,,,
32-5222-01A-01R-1850-01+2,38312019,845899,64902,,,,,,,,,,,,
41-2571-01A-01R-1850-01+1,44708804,1729482,545710,,,,,,,,,,,,
41-2571-01A-01R-1850-01+2,74325634,2588897,687609,,,,,,,,,,,,
41-2572-01A-01R-1850-01+1,45206755,7628288,3048297,,,,,,,,,,,,
41-2572-01A-01R-1850-01+2,68978346,8489949,3294634,,,,,,,,,,,,
41-3915-01A-01R-1850-01+1,69306157,3816380,1143572,,,,,,,,,,,,
41-3915-01A-01R-1850-01+2,42892987,3084598,994420,,,,,,,,,,,,
41-4097-01A-01R-1850-01+1,63535024,6715350,2169128,,,,,,,,,,,,
41-4097-01A-01R-1850-01+2,42807214,5448361,1908767,,,,,,,,,,,,
41-5651-01A-01R-1850-01+1,32890865,838757,55117,,,,,,,,,,,,
41-5651-01A-01R-1850-01+2,51496854,1603757,152611,,,,,,,,,,,,
4W-AA9R-01A-11R-A39C-08+1,67175835,1578359,39006,,,,,,,,,,,,
4W-AA9S-01A-11R-A39C-08+1,34452044,716546,19460,,,,,,,,,,,,
4W-AA9T-01A-11R-A39C-08+1,35010860,833478,20080,,,,,,,,,,,,
76-4925-01A-01R-1850-01+1,73763038,2060168,236797,,,,,,,,,,,,
76-4925-01A-01R-1850-01+2,44748848,1039379,106882,,,,,,,,,,,,
76-4926-01B-01R-1850-01+1,70753244,2328166,224517,,,,,,,,,,,,
76-4926-01B-01R-1850-01+2,40956195,1249909,68814,,,,,,,,,,,,
76-4927-01A-01R-1850-01+1,38320027,3740128,911217,,,,,,,,,,,,
76-4927-01A-01R-1850-01+2,57547242,4432958,1042613,,,,,,,,,,,,
76-4928-01B-01R-1850-01+1,43408198,924689,74054,,,,,,,,,,,,
76-4928-01B-01R-1850-01+2,74427115,1962673,204205,,,,,,,,,,,,
76-4929-01A-01R-1850-01+1,55395435,1512170,150866,,,,,,,,,,,,
76-4929-01A-01R-1850-01+2,34576692,735547,49091,,,,,,,,,,,,
76-4931-01A-01R-1850-01+1,41333547,998687,81072,,,,,,,,,,,,
76-4931-01A-01R-1850-01+2,64034049,1884874,196649,,,,,,,,,,,,
76-4932-01A-01R-1850-01+1,63053813,1705977,197983,,,,,,,,,,,,
76-4932-01A-01R-1850-01+2,37977666,812008,78810,,,,,,,,,,,,
CS-4938-01B-11R-1896-07+1,69973581,2744827,20502,,,,,,,,,,,,
CS-4941-01A-01R-1470-07+1,69695383,2589147,31161,,,,,,,,,,,,
CS-4942-01A-01R-1470-07+1,70129627,2327355,29188,,,,,,,,,,,,
CS-4943-01A-01R-1470-07+1,74494966,2289893,27047,,,,,,,,,,,,
CS-4944-01A-01R-1470-07+1,63086943,1822368,25162,,,,,,,,,,,,
CS-5390-01A-02R-1470-07+1,69947326,2671540,27191,,,,,,,,,,,,
CS-5393-01A-01R-1470-07+1,66260420,3176084,20769,,,,,,,,,,,,
CS-5394-01A-01R-1470-07+1,74034764,3881267,23310,,,,,,,,,,,,
CS-5395-01A-01R-1470-07+1,66559473,2924265,19542,,,,,,,,,,,,
CS-5396-01A-02R-1470-07+1,81360426,3325363,35245,,,,,,,,,,,,
CS-5397-01A-01R-1896-07+1,70768778,2779088,23436,,,,,,,,,,,,
CS-6186-01A-12R-2027-07+1,48910022,2032801,19274,,,,,,,,,,,,
CS-6188-01A-11R-1896-07+1,65173257,2406207,27038,,,,,,,,,,,,
CS-6290-01A-11R-1708-07+1,66019700,2149113,23351,,,,,,,,,,,,
CS-6665-01A-11R-1896-07+1,72049261,3055563,21689,,,,,,,,,,,,
CS-6666-01A-11R-1896-07+1,59828532,2572269,12844,,,,,,,,,,,,
CS-6667-01A-12R-2027-07+1,79275309,2112751,26309,,,,,,,,,,,,
CS-6668-01A-11R-1896-07+1,71349664,3454069,17896,,,,,,,,,,,,
CS-6669-01A-11R-1896-07+1,68651152,3024001,14883,,,,,,,,,,,,
CS-6670-01A-11R-1896-07+1,72649224,2664319,15568,,,,,,,,,,,,
DB-5270-01A-02R-1470-07+1,74991391,3023195,34692,,,,,,,,,,,,
DB-5273-01A-01R-1470-07+1,65621834,1980769,27733,,,,,,,,,,,,
DB-5274-01A-01R-1470-07+1,52677722,1744158,25458,,,,,,,,,,,,
DB-5275-01A-01R-1470-07+1,74663553,2472455,32207,,,,,,,,,,,,
DB-5276-01A-01R-1470-07+1,66663896,3303284,20753,,,,,,,,,,,,
DB-5277-01A-01R-1470-07+1,66800883,2650573,20899,,,,,,,,,,,,
DB-5278-01A-01R-1470-07+1,78240653,3771112,24407,,,,,,,,,,,,
DB-5279-01A-03R-2347-07+1,82956742,2598214,23881,,,,,,,,,,,,
DB-5280-01A-01R-1470-07+1,71061642,2514732,29299,,,,,,,,,,,,
DB-5281-01A-01R-1470-07+1,83229658,3419487,42525,,,,,,,,,,,,
DB-A4X9-01A-11R-A26U-07+1,47348956,1765765,19228,,,,,,,,,,,,
DB-A4XA-01A-11R-A26U-07+1,48389023,1834092,18163,,,,,,,,,,,,
DB-A4XB-01A-11R-A26U-07+1,42027574,1645346,12195,,,,,,,,,,,,
DB-A4XC-01A-11R-A26U-07+1,39717970,1452438,11965,,,,,,,,,,,,
DB-A4XD-01A-11R-A27Q-07+1,52706101,1587792,21950,,,,,,,,,,,,
DB-A4XE-01A-11R-A27Q-07+1,52855182,1342801,27086,,,,,,,,,,,,
DB-A4XF-01A-11R-A27Q-07+1,55852572,1587057,26820,,,,,,,,,,,,
DB-A4XG-01A-11R-A27Q-07+1,66146491,1841803,32198,,,,,,,,,,,,
DB-A4XH-01A-11R-A27Q-07+1,59548523,1799685,23970,,,,,,,,,,,,
DB-A64L-01A-11R-A29R-07+1,55024503,2234744,30540,,,,,,,,,,,,
DB-A64O-01A-11R-A29R-07+1,50562550,1762500,30990,,,,,,,,,,,,
DB-A64P-01A-11R-A29R-07+1,61417866,2850895,35482,,,,,,,,,,,,
DB-A64Q-01A-11R-A29R-07+1,57221383,2247902,34662,,,,,,,,,,,,
DB-A64R-01A-11R-A29R-07+1,51454758,2728419,32976,,,,,,,,,,,,
DB-A64S-01A-11R-A29R-07+1,53005544,2087106,31373,,,,,,,,,,,,
DB-A64U-01A-11R-A29R-07+1,64496798,2389727,38510,,,,,,,,,,,,
DB-A64V-01A-11R-A29R-07+1,62492697,2305201,48036,,,,,,,,,,,,
DB-A64W-01A-11R-A29R-07+1,51718447,2262416,38521,,,,,,,,,,,,
DB-A64X-01A-11R-A29R-07+1,55873741,1952665,40705,,,,,,,,,,,,
DB-A75K-01A-11R-A32Q-07+1,64655425,3986651,50274,,,,,,,,,,,,
DB-A75L-01A-11R-A32Q-07+1,67544566,1598167,40209,,,,,,,,,,,,
DB-A75M-01A-11R-A32Q-07+1,63144641,3665200,25542,,,,,,,,,,,,
DB-A75O-01A-11R-A32Q-07+1,49534876,2617552,18730,,,,,,,,,,,,
DB-A75P-01A-11R-A32Q-07+1,63859431,3617245,24361,,,,,,,,,,,,
DH-5140-01A-01R-1470-07+1,69822269,2592140,34482,,,,,,,,,,,,
DH-5141-01A-01R-1470-07+1,74760992,2801836,31802,,,,,,,,,,,,
DH-5142-01A-01R-1470-07+1,66421597,2818838,19227,,,,,,,,,,,,
DH-5143-01A-01R-1470-07+1,70515019,2820518,19587,,,,,,,,,,,,
DH-5144-01A-01R-1470-07+1,76218744,3002435,22547,,,,,,,,,,,,
DH-A669-01A-12R-A31N-07+1,80129620,2626838,34864,,,,,,,,,,,,
DH-A669-02A-11R-A31N-07+1,58731277,1438577,26566,,,,,,,,,,,,
DH-A66B-01A-11R-A29R-07+1,58783855,2298709,40867,,,,,,,,,,,,
DH-A66D-01A-11R-A31N-07+1,64511436,3725370,78044,,,,,,,,,,,,
DH-A66F-01A-11R-A29R-07+1,56866233,2124504,40526,,,,,,,,,,,,
DH-A66G-01A-21R-A31N-07+1,57337136,1559414,16685,,,,,,,,,,,,
DH-A7UR-01A-11R-A33Z-07+1,64181159,1551665,24367,,,,,,,,,,,,
DH-A7US-01A-11R-A33Z-07+1,63273274,1413139,24050,,,,,,,,,,,,
DH-A7UT-01A-12R-A34F-07+1,49108147,1061162,26697,,,,,,,,,,,,
DH-A7UU-01A-12R-A34F-07+1,62138420,1474602,24337,,,,,,,,,,,,
DH-A7UV-01A-12R-A34F-07+1,75303496,1766535,31846,,,,,,,,,,,,
DU-5847-01A-11R-1708-07+1,77002922,2943518,30341,,,,,,,,,,,,
DU-5849-01A-11R-1708-07+1,84003491,2868862,31757,,,,,,,,,,,,
DU-5851-01A-13R-1896-07+1,78098614,3666393,24224,,,,,,,,,,,,
DU-5852-01A-11R-1708-07+1,71068474,2875258,25723,,,,,,,,,,,,
DU-5853-01A-11R-1896-07+1,69003088,2434748,32768,,,,,,,,,,,,
DU-5854-01A-11R-1708-07+1,67675485,2329365,27690,,,,,,,,,,,,
DU-5855-01A-11R-1708-07+1,73110635,2630424,28265,,,,,,,,,,,,
DU-5870-01A-11R-1708-07+1,72704672,2774433,25606,,,,,,,,,,,,
DU-5870-02A-12R-A36H-07+1,66776651,1450180,21141,,,,,,,,,,,,
DU-5871-01A-12R-1708-07+1,69338958,2555356,27422,,,,,,,,,,,,
DU-5872-01A-11R-1708-07+1,82842373,3727854,28319,,,,,,,,,,,,
DU-5872-02A-21R-A36H-07+1,53129232,1270171,14305,,,,,,,,,,,,
DU-5874-01A-11R-1708-07+1,83498305,3267294,34633,,,,,,,,,,,,
DU-6392-01A-11R-1708-07+1,86912840,3454209,34374,,,,,,,,,,,,
DU-6393-01A-11R-1708-07+1,95920376,3488802,36445,,,,,,,,,,,,
DU-6394-01A-11R-1708-07+1,86846809,3146143,30732,,,,,,,,,,,,
DU-6395-01A-13R-1708-07+1,78483591,2652664,27291,,,,,,,,,,,,
DU-6396-01A-11R-1708-07+1,74683878,2670830,32645,,,,,,,,,,,,
DU-6397-01A-11R-1708-07+1,68028872,2686754,27505,,,,,,,,,,,,
DU-6397-02A-12R-A36H-07+1,55658372,1099479,17492,,,,,,,,,,,,
DU-6399-01A-12R-1708-07+1,74005133,2655544,21485,,,,,,,,,,,,
DU-6400-01A-12R-1708-07+1,91754420,4103999,37613,,,,,,,,,,,,
DU-6401-01A-11R-1708-07+1,72453216,2361158,23784,,,,,,,,,,,,
DU-6402-01A-11R-1708-07+1,76839467,3038342,27176,,,,,,,,,,,,
DU-6403-01A-11R-1708-07+1,69025113,2603917,23051,,,,,,,,,,,,
DU-6404-01A-11R-1708-07+1,87586477,3228035,29214,,,,,,,,,,,,
DU-6404-02A-21R-A36H-07+1,75630989,1565617,21069,,,,,,,,,,,,
DU-6404-02B-11R-A36H-07+1,71224808,1464117,26040,,,,,,,,,,,,
DU-6405-01A-11R-1708-07+1,69513994,2910601,29598,,,,,,,,,,,,
DU-6406-01A-11R-1708-07+1,72390683,2852925,29740,,,,,,,,,,,,
DU-6407-01A-13R-1708-07+1,65951105,2268526,18670,,,,,,,,,,,,
DU-6407-02A-12R-A36H-07+1,55612674,1084770,20910,,,,,,,,,,,,
DU-6407-02B-11R-A36H-07+1,82337901,1666765,31113,,,,,,,,,,,,
DU-6408-01A-11R-1708-07+1,65728146,2622857,20234,,,,,,,,,,,,
DU-6410-01A-11R-1896-07+1,76202223,3779561,17669,,,,,,,,,,,,
DU-6542-01A-11R-1896-07+1,59675682,2643420,13995,,,,,,,,,,,,
DU-7006-01A-11R-2027-07+1,79043273,2347020,26137,,,,,,,,,,,,
DU-7007-01A-11R-2027-07+1,76070817,2448287,29445,,,,,,,,,,,,
DU-7008-01A-11R-2027-07+1,93578013,2442075,35191,,,,,,,,,,,,
DU-7009-01A-11R-2027-07+1,84186833,2676336,36195,,,,,,,,,,,,
DU-7010-01A-11R-2027-07+1,80739876,2705437,38639,,,,,,,,,,,,
DU-7011-01A-11R-2027-07+1,78377131,2123108,27107,,,,,,,,,,,,
DU-7012-01A-11R-2027-07+1,74839991,2300002,29056,,,,,,,,,,,,
DU-7013-01A-11R-2027-07+1,97088325,2693214,41664,,,,,,,,,,,,
DU-7014-01A-11R-2027-07+1,93612103,2836076,44048,,,,,,,,,,,,
DU-7015-01A-11R-2027-07+1,88566679,2832465,45027,,,,,,,,,,,,
DU-7018-01A-11R-2027-07+1,101182128,3306519,35748,,,,,,,,,,,,
DU-7019-01A-11R-2027-07+1,78751820,2341766,24166,,,,,,,,,,,,
DU-7290-01A-11R-2027-07+1,72228942,1947021,22349,,,,,,,,,,,,
DU-7292-01A-11R-2027-07+1,79698472,2036501,23277,,,,,,,,,,,,
DU-7294-01A-11R-2027-07+1,74384975,1979578,25866,,,,,,,,,,,,
DU-7298-01A-11R-2027-07+1,79322895,2441049,27450,,,,,,,,,,,,
DU-7299-01A-21R-2027-07+1,89960003,2565322,32047,,,,,,,,,,,,
DU-7300-01A-21R-2090-07+1,76194710,1971527,22165,,,,,,,,,,,,
DU-7301-01A-11R-2090-07+1,73080343,2142373,22223,,,,,,,,,,,,
DU-7302-01A-11R-2090-07+1,68889409,2447836,24944,,,,,,,,,,,,
DU-7304-01A-12R-2090-07+1,77495517,2452296,34298,,,,,,,,,,,,
DU-7304-02A-12R-A36H-07+1,44967560,879491,15760,,,,,,,,,,,,
DU-7306-01A-11R-2090-07+1,80589684,1984768,22802,,,,,,,,,,,,
DU-7309-01A-11R-2090-07+1,87006206,3072232,37037,,,,,,,,,,,,
DU-8158-01A-11R-2256-07+1,95420705,2877471,38178,,,,,,,,,,,,
DU-8161-01A-11R-2256-07+1,83657009,2864344,33961,,,,,,,,,,,,
DU-8162-01A-21R-2256-07+1,77532109,2594862,24109,,,,,,,,,,,,
DU-8163-01A-11R-2256-07+1,62357456,1689220,18341,,,,,,,,,,,,
DU-8164-01A-11R-2256-07+1,87667641,2619241,26277,,,,,,,,,,,,
DU-8165-01A-11R-2256-07+1,56577606,1902972,17212,,,,,,,,,,,,
DU-8166-01A-11R-2256-07+1,75963824,2274216,20978,,,,,,,,,,,,
DU-8167-01A-11R-2256-07+1,63708373,1969424,17639,,,,,,,,,,,,
DU-8168-01A-11R-2256-07+1,101354370,3491400,40869,,,,,,,,,,,,
DU-A5TP-01A-11R-A28M-07+1,56895538,2132237,20596,,,,,,,,,,,,
DU-A5TR-01A-11R-A28M-07+1,56442825,1573511,33105,,,,,,,,,,,,
DU-A5TS-01A-11R-A28M-07+1,50492342,1855843,25942,,,,,,,,,,,,
DU-A5TT-01A-11R-A28M-07+1,60991982,1944146,21303,,,,,,,,,,,,
DU-A5TU-01A-11R-A28M-07+1,57875844,1502241,19157,,,,,,,,,,,,
DU-A5TW-01A-11R-A28M-07+1,56041537,1883817,19553,,,,,,,,,,,,
DU-A5TY-01A-11R-A28M-07+1,58242214,1787599,22547,,,,,,,,,,,,
DU-A6S2-01A-21R-A32Q-07+1,60981786,3831286,29252,,,,,,,,,,,,
DU-A6S3-01A-12R-A32Q-07+1,63201290,3352305,27213,,,,,,,,,,,,
DU-A6S6-01A-21R-A32Q-07+1,53898103,2664113,24415,,,,,,,,,,,,
DU-A6S7-01A-21R-A32Q-07+1,60566211,3321126,24924,,,,,,,,,,,,
DU-A6S8-01A-12R-A32Q-07+1,55748868,1321225,35874,,,,,,,,,,,,
DU-A76K-01A-11R-A33Z-07+1,84254490,1918702,40686,,,,,,,,,,,,
DU-A76L-01A-11R-A32Q-07+1,60000651,1330919,36352,,,,,,,,,,,,
DU-A76O-01A-11R-A32Q-07+1,59183476,3284425,24375,,,,,,,,,,,,
DU-A76R-01A-11R-A32Q-07+1,59614961,1468920,36265,,,,,,,,,,,,
DU-A7T6-01A-11R-A33Z-07+1,86486497,1846468,38126,,,,,,,,,,,,
DU-A7T8-01A-21R-A34R-07+1,71973745,1672921,29941,,,,,,,,,,,,
DU-A7TA-01A-11R-A33Z-07+1,59852845,1518764,40653,,,,,,,,,,,,
DU-A7TB-01A-11R-A33Z-07+1,77780905,1870923,41362,,,,,,,,,,,,
DU-A7TC-01A-21R-A34R-07+1,67396088,1300039,28717,,,,,,,,,,,,
DU-A7TD-01A-12R-A34F-07+1,55442966,1257325,23267,,,,,,,,,,,,
DU-A7TG-01A-21R-A34R-07+1,48591883,1357880,20603,,,,,,,,,,,,
DU-A7TI-01A-11R-A33Z-07+1,58297612,1482298,36329,,,,,,,,,,,,
DU-A7TJ-01A-11R-A34R-07+1,72020473,1924517,29456,,,,,,,,,,,,
E1-5302-01A-01R-1470-07+1,65232735,2175066,24682,,,,,,,,,,,,
E1-5303-01A-01R-1470-07+1,58604670,2005536,31509,,,,,,,,,,,,
E1-5304-01A-01R-1470-07+1,62025074,2478868,29270,,,,,,,,,,,,
E1-5305-01A-01R-1896-07+1,57471401,2311503,12689,,,,,,,,,,,,
E1-5307-01A-01R-1896-07+1,65475390,2259144,14181,,,,,,,,,,,,
E1-5311-01A-01R-1470-07+1,78981198,2848819,35222,,,,,,,,,,,,
E1-5318-01A-01R-1470-07+1,65654902,2329842,25646,,,,,,,,,,,,
E1-5319-01A-01R-1896-07+1,63706804,2564408,13468,,,,,,,,,,,,
E1-5322-01A-01R-1470-07+1,84305603,2939264,19250,,,,,,,,,,,,
E1-A7YD-01A-11R-A34F-07+1,56554387,1312983,26278,,,,,,,,,,,,
E1-A7YE-01A-11R-A34F-07+1,78095989,2010216,33865,,,,,,,,,,,,
E1-A7YH-01A-11R-A34F-07+1,69060524,1692342,32581,,,,,,,,,,,,
E1-A7YI-01A-11R-A34F-07+1,66004253,1555763,31799,,,,,,,,,,,,
E1-A7YJ-01A-11R-A34F-07+1,75647022,1737976,34452,,,,,,,,,,,,
E1-A7YK-01A-11R-A34F-07+1,66818250,1480497,31020,,,,,,,,,,,,
E1-A7YL-01A-11R-A34F-07+1,72065241,1771051,36058,,,,,,,,,,,,
E1-A7YM-01A-11R-A34F-07+1,55099406,1251361,26967,,,,,,,,,,,,
E1-A7YN-01A-11R-A34F-07+1,45756659,1025439,24534,,,,,,,,,,,,
E1-A7YO-01A-11R-A34F-07+1,60009369,1496568,30916,,,,,,,,,,,,
E1-A7YQ-01A-11R-A34R-07+1,64959595,1729955,22549,,,,,,,,,,,,
E1-A7YS-01A-11R-A34F-07+1,65197600,1743396,35420,,,,,,,,,,,,
E1-A7YU-01A-11R-A34R-07+1,58924305,1966422,20961,,,,,,,,,,,,
E1-A7YV-01A-11R-A34R-07+1,59093656,1389481,29034,,,,,,,,,,,,
E1-A7YW-01A-11R-A34R-07+1,59630440,1313414,28783,,,,,,,,,,,,
E1-A7YY-01A-11R-A34R-07+1,69004135,1503238,29881,,,,,,,,,,,,
E1-A7Z2-01A-21R-A34R-07+1,65649109,1550328,30541,,,,,,,,,,,,
E1-A7Z3-01A-11R-A34R-07+1,55451364,1518613,18195,,,,,,,,,,,,
E1-A7Z4-01A-11R-A34R-07+1,64989612,1551707,24039,,,,,,,,,,,,
E1-A7Z6-01A-11R-A34R-07+1,59094102,1593246,24519,,,,,,,,,,,,
EZ-7264-01A-11R-2027-07+1,88208883,2774837,34604,,,,,,,,,,,,
F6-A8O3-01A-11R-A36H-07+1,89971663,1667360,24534,,,,,,,,,,,,
F6-A8O4-01A-11R-A36H-07+1,77526483,1448548,21742,,,,,,,,,,,,
FG-5962-01B-11R-1896-07+1,78434524,3604352,18115,,,,,,,,,,,,
FG-5963-01A-11R-1708-07+1,74857632,2472230,21111,,,,,,,,,,,,
FG-5963-02A-12R-A29R-07+1,50519105,1936459,30929,,,,,,,,,,,,
FG-5964-01A-11R-1708-07+1,64374646,1921177,7369,,,,,,,,,,,,
FG-5965-01B-11R-1896-07+1,85647680,3896860,,,,,,,,,,,,,
FG-5965-02A-11R-A29R-07+1,58223152,2091043,,,,,,,,,,,,,
FG-5965-02B-11R-A29R-07+1,54421776,2208960,,,,,,,,,,,,,
FG-6688-01A-11R-1896-07+1,74584547,2139053,,,,,,,,,,,,,
FG-6689-01A-11R-1896-07+1,82186928,2929259,,,,,,,,,,,,,
FG-6690-01A-11R-1896-07+1,65376514,3065392,,,,,,,,,,,,,
FG-6691-01A-11R-1896-07+1,70512038,2949157,,,,,,,,,,,,,
FG-6692-01A-11R-1896-07+1,78833254,3610814,,,,,,,,,,,,,
FG-7634-01A-11R-2090-07+1,76686683,2838184,,,,,,,,,,,,,
FG-7636-01A-11R-2090-07+1,62565163,2001899,,,,,,,,,,,,,
FG-7637-01A-11R-2090-07+1,72053815,1876157,,,,,,,,,,,,,
FG-7638-01B-12R-2090-07+1,64194468,1703885,,,,,,,,,,,,,
FG-7641-01B-11R-2256-07+1,59730301,2160332,,,,,,,,,,,,,
FG-7643-01A-11R-2090-07+1,74113634,2053258,,,,,,,,,,,,,
FG-8181-01A-11R-2256-07+1,71835779,2332532,,,,,,,,,,,,,
FG-8182-01A-11R-2256-07+1,72394462,2337494,,,,,,,,,,,,,
FG-8185-01A-11R-2256-07+1,88261543,2461025,,,,,,,,,,,,,
FG-8186-01A-11R-2256-07+1,71710545,2175959,,,,,,,,,,,,,
FG-8187-01A-11R-2256-07+1,67388595,2147104,,,,,,,,,,,,,
FG-8188-01A-11R-2256-07+1,50961654,1363210,,,,,,,,,,,,,
FG-8189-01B-11R-A28M-07+1,59262484,2566174,,,,,,,,,,,,,
FG-8191-01A-11R-2256-07+1,75238483,2679162,,,,,,,,,,,,,
FG-A4MT-01A-11R-A26U-07+1,37404472,1421696,,,,,,,,,,,,,
FG-A4MT-02A-11R-A29R-07+1,57438468,2366559,,,,,,,,,,,,,
FG-A4MU-01B-11R-A28M-07+1,58526820,2165870,,,,,,,,,,,,,
FG-A4MW-01A-11R-A26U-07+1,38064820,1416561,,,,,,,,,,,,,
FG-A4MX-01A-11R-A26U-07+1,37074551,1422788,,,,,,,,,,,,,
FG-A4MY-01A-11R-A26U-07+1,40288887,1591169,,,,,,,,,,,,,
FG-A60J-01A-11R-A28M-07+1,63687398,2006680,,,,,,,,,,,,,
FG-A60K-01A-11R-A29R-07+1,61690781,2789140,,,,,,,,,,,,,
FG-A60L-01A-12R-A31N-07+1,54229743,1398664,,,,,,,,,,,,,
FG-A6IZ-01A-11R-A31N-07+1,59007292,1653127,,,,,,,,,,,,,
FG-A6J1-01A-11R-A31N-07+1,54234535,1448086,,,,,,,,,,,,,
FG-A6J3-01A-11R-A31N-07+1,49471373,1209630,,,,,,,,,,,,,
FG-A70Y-01A-12R-A34R-07+1,64922598,1369715,,,,,,,,,,,,,
FG-A70Z-01A-12R-A33Z-07+1,73549643,1600137,,,,,,,,,,,,,
FG-A710-01A-12R-A33Z-07+1,69809118,1599867,,,,,,,,,,,,,
FG-A711-01A-21R-A33Z-07+1,60266188,1283028,,,,,,,,,,,,,
FG-A713-01A-11R-A32Q-07+1,66502411,3998552,,,,,,,,,,,,,
FG-A87N-01A-11R-A36H-07+1,74403109,1502051,,,,,,,,,,,,,
FG-A87Q-01A-11R-A36H-07+1,52239041,1032179,,,,,,,,,,,,,
FN-7833-01A-11R-2090-07+1,68061691,2254826,,,,,,,,,,,,,
HT-7467-01A-11R-2027-07+1,93201103,2747062,,,,,,,,,,,,,
HT-7468-01A-11R-2027-07+1,77736237,2193890,,,,,,,,,,,,,
HT-7469-01A-11R-2256-07+1,70202317,2539925,,,,,,,,,,,,,
HT-7470-01A-12R-2090-07+1,81661074,2227566,,,,,,,,,,,,,
HT-7471-01A-11R-2256-07+1,57936817,1711771,,,,,,,,,,,,,
HT-7472-01A-11R-2027-07+1,76024167,2161489,,,,,,,,,,,,,
HT-7473-01A-11R-2027-07+1,71228081,2105990,,,,,,,,,,,,,
HT-7474-01A-11R-2027-07+1,77075124,2141812,,,,,,,,,,,,,
HT-7475-01A-11R-2027-07+1,78011650,2454924,,,,,,,,,,,,,
HT-7476-01A-11R-2027-07+1,70369737,2149188,,,,,,,,,,,,,
HT-7477-01B-11R-A28M-07+1,60937363,2717865,,,,,,,,,,,,,
HT-7478-01A-11R-2027-07+1,78164170,2431597,,,,,,,,,,,,,
HT-7479-01A-11R-2027-07+1,73255235,2062219,,,,,,,,,,,,,
HT-7480-01A-11R-2090-07+1,85759340,3431009,,,,,,,,,,,,,
