id	filename	md5	size	state
001a6645-f90d-4921-9b8a-6a81e2d1472b	80cfa5cb-86bd-4c06-9af1-385ef248eee9_atacseq_gdc_realn.bam	d0f8f5216e67354f5298d02cb2fa93da	19908603539	validated
006e38c3-143c-4d03-b107-f68e334844e5	f2cd700e-c35b-4005-b5f7-7a26f82e03f6_atacseq_gdc_realn.bam	d7f05434c5a1d12bba562512a91ffa5f	22631369567	validated
013e5191-5d2d-4d1b-903e-79fca04c96af	358b0636-2028-4853-a383-d3890ef05079_atacseq_gdc_realn.bam	479ec9fc17d5a7399716ae8d09ac0a6e	10591745560	validated
03c38fc9-3bec-4853-a146-ff5f55e4e478	af2b93e4-3143-47a4-a71a-cc4f5b404629_atacseq_gdc_realn.bam	13dbb7d605f36a376d87e780e7d9e5e5	17218372029	validated
04eaf7c7-6821-46e9-87e6-a841b67d166d	5ef5359e-63e7-4706-938c-52b6195ba97d_atacseq_gdc_realn.bam	2a8f477cff0aaf55f8ea9c2ccff52125	19801068739	validated
056c0afa-304a-450b-8cdd-c25054dc750e	ee21ec60-9ee2-44ce-a713-14d893762d81_atacseq_gdc_realn.bam	909f39a29ee9e97b84188575dcf26273	19631260313	validated
059f324f-8b38-4513-89aa-4198a9ebddea	e8bac043-0df7-4a77-9e01-a22788f49f4b_atacseq_gdc_realn.bam	c12dbf16d712e40283a181b500da83c2	22834588027	validated
0631d854-1641-426e-98a4-83be037cc5ee	248937f5-9302-4e01-ab45-ad7c97cf489f_atacseq_gdc_realn.bam	cbe5e6f79ccc4b6828e0df44109f295a	30308894189	validated
0661151c-062d-4c42-9aed-85d34c798296	8b1082ef-9799-4955-b608-2c19234eb900_atacseq_gdc_realn.bam	ef2b910ccba3dfe661eb61976a46fc1d	30457088153	validated
06a82de4-0a3b-4211-8c50-00e6dc9725de	fbb0f41a-25b8-4daf-8934-4c104bcb7070_atacseq_gdc_realn.bam	d3bb4c46c79efcd07b537794443086d4	22410448035	validated
07280733-18a1-4650-8297-e760dc0ee14a	ab0b0314-105e-42a4-906d-8399e26e5162_atacseq_gdc_realn.bam	379719393aeb80f48f25af4f901a884b	22505290655	validated
0874dafa-6308-42d0-8bf6-fac744900931	00919664-1563-46f2-a9de-290ba63f8ca0_atacseq_gdc_realn.bam	974b017f083716fdf911bf32650c8c26	28395594056	validated
08aef9f1-5fff-47af-908f-fdc3903a117b	33e8a285-4cdb-40c8-8887-8764aa8ae52c_atacseq_gdc_realn.bam	38e7bdfe048af5c6689345f5a4b09528	17145902106	validated
097408a6-ab28-4e18-981e-30ceb8a1df54	ba203815-434a-41ac-8d7f-f08cf3aa8979_atacseq_gdc_realn.bam	8f86c018f20ea8b51ac026ca399c349c	17303069255	validated
09a3513b-0762-4c1f-bf76-b9c03e0fc109	f9e9d0e9-168b-477a-8a4a-70f9b961f49b_atacseq_gdc_realn.bam	02eacb2d0205cc1e67b4e3304b2ebcb4	7939541506	validated
09f07ab3-13fb-4d17-9a82-c041c4f25106	37b033d0-c231-4e5e-a863-7576c6dd115e_atacseq_gdc_realn.bam	207b0d7c09faaf84dbd83df218d8a45d	22330026504	validated
0a672696-796c-47b0-85b3-27153667a982	e4cc2fff-00e3-44ab-a6a6-d692736447a2_atacseq_gdc_realn.bam	9f8aa71e214ed1feea015f4dc2cd393c	21072687162	validated
0c2c0703-10e3-47a7-a7bb-2bca170ba3bc	9d3eb297-4589-4e37-a6a6-4c0fccb013e1_atacseq_gdc_realn.bam	044969d17f205541ef2a377c7040600c	20783514766	validated
0d3333cb-399b-4c48-aeb2-f8771602c295	6d1b49d0-8c80-4905-b9a4-d6f9f059deb3_atacseq_gdc_realn.bam	f5a724c20acb4b12c5b609acd08c987b	20729017217	validated
0d8d06f8-3f46-49ba-bc92-9d19af82d5a6	2d6f8b2b-2fe3-44f4-9fbf-a89200b579ba_atacseq_gdc_realn.bam	5718c96a3c80c5806d99589e76a81b63	20938830382	validated
0da895b6-6b94-40ba-97c2-bb794d5fa311	1fcfaf6f-e806-4a70-a534-e18a28d0ee31_atacseq_gdc_realn.bam	a943f1e410ce3f6fe182f14be49ebcee	20385955138	validated
0e73b7ba-89e2-4064-8473-d66ba5c6c569	3e97ceec-6bc3-4fba-a5ac-76db497a15de_atacseq_gdc_realn.bam	5db0dd3f3a41505b2753b47552148291	16527940256	validated
0f37cf5e-89b0-4e4f-9020-3b3f16a77fbc	ff883a34-10d4-4320-b37c-16fcdd637dbc_atacseq_gdc_realn.bam	ed0dc71e1ebf080f7c59f46b7075676b	19728515468	validated
0f631626-e2af-4b44-998c-c57fda244cc5	a665a0d6-84b1-4047-9200-1409e0b10b98_atacseq_gdc_realn.bam	b041d6f3b42c2c32b3ca1654c031ad04	20349287950	validated
0f6c309e-85e4-4c7d-9303-c9973f3b2029	d807fac9-5739-4bb4-a52d-a86c066e2cae_atacseq_gdc_realn.bam	22bc0bffe471bdc26c4d67b3607ca4cc	17254591952	validated
0f70ac1d-fc5e-4548-bf4f-2c9b6e70e18a	979bf6e5-92ad-4c28-bba9-7c52c6545996_atacseq_gdc_realn.bam	f56c750e40c176eba823a76aaf5adf78	18941441325	validated
0fab3961-f314-403a-b181-3a0de2bac3a9	6da8bbda-a758-4b61-9f85-3826e8c17f3f_atacseq_gdc_realn.bam	bc271cc8c76970faf53eec6ccf006fd3	19970413099	validated
1130ac7b-19d9-4e14-b1ba-4da6f37e9a31	880952ef-b249-4837-ae1f-4824eb0d12a2_atacseq_gdc_realn.bam	3052fd613ee464f2f677e5e706062db8	20742600306	validated
116da124-800a-475c-b400-d8dcfbd39259	385e16fd-bb65-4846-86e2-208e0548987a_atacseq_gdc_realn.bam	d52639b11aef2285990e880ab3e89382	18114299215	validated
125bb1d9-49b1-4bca-94f2-8dae195b4756	bbb29dc8-cba9-43d8-904f-42f11e412bbd_atacseq_gdc_realn.bam	0a24d27b1cab1e19ca1dd403abcefe56	19378671719	validated
13eb4bb2-229a-4a2c-9c37-556a721d2eaa	4eee2fb4-41cd-43e9-96f0-7c2f1c13c9ac_atacseq_gdc_realn.bam	7d2d2b578db45a65f3c68e174d78b822	35567119172	validated
14ea0f55-a52e-4e3f-8f96-a78f98701c21	5edeebfc-4816-4fe5-8193-8abe75b91fd4_atacseq_gdc_realn.bam	608fcaea8d46e512e64f3f23c160a8f6	21518505137	validated
15c811bc-dc24-4066-a015-5eea14ad5cbb	4aea1c7f-4b8b-4416-9bd1-9608a8ccd1a4_atacseq_gdc_realn.bam	cc0b4a0c76d26d6d2ed21e5907aa8cb7	25254890056	validated
15e709d0-4557-455f-a193-d32a574454e4	180e986e-2f5f-4885-b53b-b84251a691e4_atacseq_gdc_realn.bam	9bfd833d01f1628966b4af31532a9768	26291556460	validated
16148079-782a-4d5b-ab1e-a5e81570d719	fbf3a88f-5308-4234-874d-8a99e971efaa_atacseq_gdc_realn.bam	610d60456c5a28278a041fcb00d72187	24186960878	validated
1650cc60-f392-4a71-9da0-7bb613a0d365	3741ceea-2b09-4b1b-aa6b-8fdbc5e89d36_atacseq_gdc_realn.bam	7f47f7af7e4eb5436623bdb464b3ca45	18887315817	validated
