  ,Paired Raw R1 Read Count,Trimmed R1 Read Count,Trimmed % R1 Read Count,hg38 aligned Count,hg38 aligned %
SRR1321853,43419396,38190150,87.95,75263522,98.53
SRR1321966,70532762,67658885,95.92,133877612,98.93
SRR1322010,48528549,45460231,93.67,89536747,98.47
SRR1322163,51356732,40906514,79.65,80259724,98.10
SRR1322270,54755106,52272861,95.46,103005048,98.52
SRR1322291,46997865,44137516,93.91,86513695,98.00
SRR1322419,35186355,29684398,84.36,58777687,99.00
SRR1322456,52353108,50122972,95.74,99235221,98.99
SRR1322555,44454830,41604664,93.58,82032960,98.58
SRR1322768,37844827,29001040,76.63,57145336,98.52
SRR1323043,49962124,43900588,87.86,86916936,98.99
SRR1323106,48135212,43650548,90.68,86434166,99.00
SRR1323130,61276787,57772587,94.28,113845764,98.52
SRR1323174,59438262,56024862,94.25,110345911,98.47
SRR1323196,37072415,33675228,90.83,66551467,98.81
SRR1323536,39359933,35629984,90.52,70584362,99.05
SRR1323603,43578750,40585873,93.13,79826921,98.34
SRR1323746,44072414,41954610,95.19,83106018,99.04
SRR1323764,46975127,41779314,88.93,82731940,99.01
SRR1323807,53958537,50821710,94.18,100079889,98.46
SRR1324043,37606638,34762340,92.43,68803409,98.96
SRR1324371,38210100,35617756,93.21,70467596,98.92
SRR1324431,34340499,32193404,93.74,63358473,98.40
SRR1324452,45314713,42423616,93.61,83402124,98.29
SRR1325332,36266518,31831678,87.77,62923073,98.83
SRR1325401,43217022,33655309,77.87,66266524,98.44
SRR1325665,33685146,31086248,92.28,60873551,97.91
SRR1325927,39212820,36178595,92.26,71251211,98.47
SRR1325964,35971702,28188372,78.36,55602264,98.62
SRR1325986,43009914,38598983,89.74,76378926,98.93
SRR1326179,51522224,49346104,95.77,97600064,98.89
SRR1326366,43677662,41605469,95.25,82297793,98.90
SRR1327593,55187689,52917776,95.88,104723445,98.94
SRR1327811,48936982,43120405,88.11,84810812,98.34
SRR1327975,41518192,37122418,89.41,73253404,98.66
SRR1328035,36538169,33093820,90.57,65563449,99.05
SRR1328487,35907266,32772345,91.26,64857823,98.95
SRR1328599,52409228,50196818,95.77,99248104,98.85
SRR1328895,31171336,28996654,93.02,56998058,98.28
SRR1328919,37850150,34896638,92.19,69130304,99.05
SRR1328960,46905591,41884657,89.29,82568976,98.56
SRR1329090,38221844,35838816,93.76,70720549,98.66
SRR1329334,40024476,36574754,91.38,72230982,98.74
SRR1329377,71010326,68055553,95.83,134459933,98.78
SRR1329551,47292715,43088812,91.11,85014167,98.64
SRR1329761,46237028,41940169,90.70,83115243,99.08
SRR1329835,39693446,35557912,89.58,70408134,99.00
SRR1329885,44635819,40771260,91.34,80495151,98.71
SRR1330041,35947567,32111438,89.32,63191553,98.39
SRR1330061,36257057,32852665,90.61,65087653,99.05
SRR1330346,59495742,55768468,93.73,109563727,98.23
SRR1330498,56232832,44263519,78.71,87169623,98.46
SRR1330546,62017392,57786840,93.17,114027495,98.66
SRR1330656,46060887,42872883,93.07,84902834,99.01
SRR1330675,47378706,43159993,91.09,85302258,98.82
SRR1330699,54306584,44729141,82.36,88517816,98.94
SRR1331289,42669030,39239827,91.96,77805120,99.14
SRR1331335,43347528,37950640,87.54,75060196,98.89
SRR1331466,48919131,44132081,90.21,87419317,99.04
SRR1331511,62495906,59905253,95.85,118526933,98.92
SRR1331534,40663568,35842565,88.14,70841833,98.82
SRR1331579,44863842,42892647,95.60,84754424,98.79
SRR1331597,58391808,55752001,95.47,110121458,98.76
SRR1331751,37070842,34615062,93.37,68386892,98.78
SRR1331841,34470679,31634455,91.77,62167771,98.25
SRR1331944,44170668,41550359,94.06,81823784,98.46
SRR1332048,35660820,32309227,90.60,63922428,98.92
SRR1332275,33356523,30989190,92.90,61194122,98.73
SRR1332317,38282148,29969475,78.28,58929230,98.31
SRR1332796,34177556,30560401,89.41,60461487,98.92
SRR1332856,64805159,62038870,95.73,122758312,98.93
SRR1333352,40151055,37744621,94.00,74620313,98.84
SRR1333587,38274443,35076575,91.64,69390512,98.91
SRR1333694,37773996,33565804,88.85,66407549,98.92
SRR1333741,43852763,39782639,90.71,78513893,98.67
SRR1333767,47493451,43471543,91.53,85933683,98.83
SRR1333930,38140657,34445245,90.31,67962276,98.65
SRR1334033,50608216,46256400,91.40,91721794,99.14
SRR1334440,38253893,34065685,89.05,67338287,98.83
SRR1334564,44415694,36974452,83.24,72583762,98.15
SRR1334717,49354028,44203361,89.56,87480710,98.95
SRR1334741,39928438,36122745,90.46,71500815,98.96
SRR1334847,36207305,33190718,91.66,65718360,99.00
SRR1334960,39057322,35971904,92.10,71285484,99.08
SRR1335029,39327940,36901274,93.82,72518118,98.25
SRR1335047,32916431,30151434,91.59,59496412,98.66
SRR1335064,48400446,43054868,88.95,85292795,99.05
SRR1335254,42281987,37983219,89.83,75191845,98.98
SRR1335377,46992182,41600330,88.52,81964510,98.51
SRR1335400,42520253,36707596,86.32,72635347,98.93
SRR1335446,43954246,39071949,88.89,76620579,98.05
SRR1335651,43601456,38924143,89.27,76951611,98.84
SRR1335688,36795610,33661571,91.48,66633468,98.97
SRR1335707,40088472,33114671,82.60,65189310,98.42
SRR1335856,39135695,34702541,88.67,68431799,98.59
SRR1336006,55577927,47822646,86.04,94384440,98.68
SRR1336069,34789130,31566419,90.73,62251999,98.60
SRR1336158,37176139,32291162,86.85,63605412,98.48
SRR1336292,45038291,41243009,91.57,81409235,98.69
SRR1336357,57181274,54127982,94.66,106768913,98.62
SRR1336379,38381584,36056869,93.94,71315093,98.89
SRR1336481,46394573,40897969,88.15,80857115,98.85
SRR1336548,34779594,32377831,93.09,63625770,98.25
SRR1336660,40745213,36910554,90.58,73092750,99.01
SRR1336727,49600828,47382255,95.52,93592368,98.76
SRR1336887,52809356,47001061,89.00,93012585,98.94
SRR1337074,57371800,48601247,84.71,96040094,98.80
SRR1337098,41257713,36735114,89.03,72643279,98.87
SRR1337119,32828039,30864008,94.01,60777343,98.45
SRR1337412,39428897,36622932,92.88,72407499,98.85
SRR1337431,37867080,32090986,84.74,63625489,99.13
SRR1337564,46518470,40564461,87.20,80146279,98.78
SRR1337648,37045712,31007874,83.70,61413144,99.02
SRR1337864,45291283,41819813,92.33,82463740,98.59
SRR1337909,62658214,60112739,95.93,119015314,98.99
SRR1338219,46417119,42292562,91.11,83684968,98.93
SRR1338301,39154147,35467959,90.58,70254646,99.03
SRR1338323,40930292,35382467,86.44,69659410,98.43
SRR1338584,39315012,35895613,91.30,71011564,98.91
SRR1338627,76506140,73441647,95.99,145409563,98.99
SRR1338669,48334445,44572809,92.21,87609973,98.27
SRR1338923,41009082,37475246,91.38,74283339,99.10
SRR1339218,33699716,28685989,85.12,56755058,98.92
SRR1339387,35047655,31621327,90.22,62291768,98.49
SRR1339530,41421892,37445314,90.39,74006346,98.81
SRR1339549,41915404,37830064,90.25,74908846,99.00
SRR1339651,48722251,42537521,87.30,82915642,97.46
SRR1339740,32755089,30523228,93.18,60014069,98.30
