study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	sample_title	bam_ftp
PRJNA688708	SAMN17186238	SRX9762488	SRR13335577	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/077/SRR13335577/SRR13335577.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/077/SRR13335577	sample_output_QBB_461_TR2	
PRJNA688708	SAMN17186060	SRX9761966	SRR13335343	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/043/SRR13335343/SRR13335343.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/043/SRR13335343	sample_output_QBB_372_TR2	
PRJNA688708	SAMN17186056	SRX9761961	SRR13335348	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/048/SRR13335348/SRR13335348.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/048/SRR13335348	sample_output_QBB_370_TR2	
PRJNA688708	SAMN17185427	SRX9762486	SRR13335579	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/079/SRR13335579/SRR13335579.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/079/SRR13335579	sample_output_QBB_56_TR1	
PRJNA688708	SAMN17185859	SRX9761959	SRR13335350	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/050/SRR13335350/SRR13335350.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/050/SRR13335350	sample_output_QBB_272_TR1	
PRJNA688708	SAMN17186236	SRX9762484	SRR13335581	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/081/SRR13335581/SRR13335581.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/081/SRR13335581	sample_output_QBB_460_TR2	
PRJNA688708	SAMN17185856	SRX9761955	SRR13335354	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/054/SRR13335354/SRR13335354.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/054/SRR13335354	sample_output_QBB_270_TR2	
PRJNA688708	SAMN17186234	SRX9762482	SRR13335583	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/083/SRR13335583/SRR13335583.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/083/SRR13335583	sample_output_QBB_459_TR1	
PRJNA688708	SAMN17185854	SRX9761953	SRR13335356	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/056/SRR13335356/SRR13335356.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/056/SRR13335356	sample_output_QBB_269_TR2	
PRJNA688708	SAMN17186232	SRX9762480	SRR13335585	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/085/SRR13335585/SRR13335585.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/085/SRR13335585	sample_output_QBB_458_TR1	
PRJNA688708	SAMN17185853	SRX9761952	SRR13335357	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/057/SRR13335357/SRR13335357.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/057/SRR13335357	sample_output_QBB_269_TR1	
PRJNA688708	SAMN17186228	SRX9762476	SRR13335589	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/089/SRR13335589/SRR13335589.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/089/SRR13335589	sample_output_QBB_456_TR1	
PRJNA688708	SAMN17185849	SRX9761948	SRR13335361	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/061/SRR13335361/SRR13335361.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/061/SRR13335361	sample_output_QBB_267_TR1	
PRJNA688708	SAMN17186227	SRX9762475	SRR13335590	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/090/SRR13335590/SRR13335590.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/090/SRR13335590	sample_output_QBB_456_TR2	
PRJNA688708	SAMN17185848	SRX9761947	SRR13335362	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/062/SRR13335362/SRR13335362.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/062/SRR13335362	sample_output_QBB_266_TR2	
PRJNA688708	SAMN17185845	SRX9761943	SRR13335366	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/066/SRR13335366/SRR13335366.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/066/SRR13335366	sample_output_QBB_265_TR1	
PRJNA688708	SAMN17186224	SRX9762471	SRR13335594	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/094/SRR13335594/SRR13335594.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/094/SRR13335594	sample_output_QBB_454_TR1	
PRJNA688708	SAMN17185837	SRX9761935	SRR13335374	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/074/SRR13335374/SRR13335374.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/074/SRR13335374	sample_output_QBB_261_TR2	
PRJNA688708	SAMN17186220	SRX9762467	SRR13335598	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/098/SRR13335598/SRR13335598.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/098/SRR13335598	sample_output_QBB_452_TR2	
PRJNA688708	SAMN17186217	SRX9762356	SRR13335601	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/001/SRR13335601/SRR13335601.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/001/SRR13335601	sample_output_QBB_451_TR2	
PRJNA688708	SAMN17185387	SRX9761934	SRR13335375	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/075/SRR13335375/SRR13335375.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/075/SRR13335375	sample_output_QBB_36_TR2	
PRJNA688708	SAMN17186038	SRX9762590	SRR13335097	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/097/SRR13335097/SRR13335097.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/097/SRR13335097	sample_output_QBB_361_TR2	
PRJNA688708	SAMN17186022	SRX9762463	SRR13335602	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/002/SRR13335602/SRR13335602.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/002/SRR13335602	sample_output_QBB_353_TR2	
PRJNA688708	SAMN17185828	SRX9762572	SRR13335385	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/085/SRR13335385/SRR13335385.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/085/SRR13335385	sample_output_QBB_256_TR1	
PRJNA688708	SAMN17186021	SRX9762462	SRR13335603	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/003/SRR13335603/SRR13335603.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/003/SRR13335603	sample_output_QBB_353_TR1	
PRJNA688708	SAMN17185689	SRX9762210	SRR13335099	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/099/SRR13335099/SRR13335099.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/099/SRR13335099	sample_output_QBB_187_TR2	
PRJNA688708	SAMN17185632	SRX9761922	SRR13335387	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/087/SRR13335387/SRR13335387.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/087/SRR13335387	sample_output_QBB_158_TR1	
PRJNA688708	SAMN17186018	SRX9762459	SRR13335606	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/006/SRR13335606/SRR13335606.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/006/SRR13335606	sample_output_QBB_351_TR2	
PRJNA688708	SAMN17185688	SRX9762209	SRR13335100	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/000/SRR13335100/SRR13335100.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/000/SRR13335100	sample_output_QBB_186_TR2	
PRJNA688708	SAMN17185631	SRX9761921	SRR13335388	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/088/SRR13335388/SRR13335388.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/088/SRR13335388	sample_output_QBB_158_TR2	
PRJNA688708	SAMN17186017	SRX9762458	SRR13335607	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/007/SRR13335607/SRR13335607.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/007/SRR13335607	sample_output_QBB_351_TR1	
PRJNA688708	SAMN17185681	SRX9762201	SRR13335108	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/008/SRR13335108/SRR13335108.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/008/SRR13335108	sample_output_QBB_183_TR1	
PRJNA688708	SAMN17185629	SRX9761919	SRR13335390	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/090/SRR13335390/SRR13335390.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/090/SRR13335390	sample_output_QBB_157_TR1	
PRJNA688708	SAMN17185405	SRX9762457	SRR13335608	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/008/SRR13335608/SRR13335608.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/008/SRR13335608	sample_output_QBB_45_TR1	
PRJNA688708	SAMN17185671	SRX9762190	SRR13335119	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/019/SRR13335119/SRR13335119.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/019/SRR13335119	sample_output_QBB_178_TR1	
PRJNA688708	SAMN17185627	SRX9761917	SRR13335392	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/092/SRR13335392/SRR13335392.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/092/SRR13335392	sample_output_QBB_156_TR2	
PRJNA688708	SAMN17185366	SRX9761916	SRR13335393	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/093/SRR13335393/SRR13335393.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/093/SRR13335393	sample_output_QBB_25_TR1	
PRJNA688708	SAMN17186016	SRX9762456	SRR13335609	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/009/SRR13335609/SRR13335609.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/009/SRR13335609	sample_output_QBB_350_TR2	
PRJNA688708	SAMN17186013	SRX9762453	SRR13335612	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/012/SRR13335612/SRR13335612.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/012/SRR13335612	sample_output_QBB_349_TR1	
PRJNA688708	SAMN17185669	SRX9762188	SRR13335121	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/021/SRR13335121/SRR13335121.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/021/SRR13335121	sample_output_QBB_177_TR2	
PRJNA688708	SAMN17185623	SRX9761912	SRR13335397	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/097/SRR13335397/SRR13335397.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/097/SRR13335397	sample_output_QBB_154_TR2	
PRJNA688708	SAMN17186009	SRX9762449	SRR13335616	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/016/SRR13335616/SRR13335616.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/016/SRR13335616	sample_output_QBB_347_TR2	
PRJNA688708	SAMN17185370	SRX9762185	SRR13335124	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/024/SRR13335124/SRR13335124.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/024/SRR13335124	sample_output_QBB_27_TR2	
PRJNA688708	SAMN17185365	SRX9761905	SRR13335404	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/004/SRR13335404/SRR13335404.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/004/SRR13335404	sample_output_QBB_25_TR2	
PRJNA688708	SAMN17186008	SRX9762448	SRR13335617	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/017/SRR13335617/SRR13335617.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/017/SRR13335617	sample_output_QBB_346_TR1	
PRJNA688708	SAMN17185466	SRX9762178	SRR13335131	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/031/SRR13335131/SRR13335131.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/031/SRR13335131	sample_output_QBB_75_TR2	
