Sample	Family	Gender	Population	Population Description	Super Population	Super Population Description
HG00096	HG00096	male	GBR	British in England and Scotland	EUR	European
HG00097	HG00097	female	GBR	British in England and Scotland	EUR	European
HG00098	HG00098	male	GBR	British in England and Scotland	EUR	European
HG00099	HG00099	female	GBR	British in England and Scotland	EUR	European
HG00100	HG00100	female	GBR	British in England and Scotland	EUR	European
HG00101	HG00101	male	GBR	British in England and Scotland	EUR	European
HG00102	HG00102	female	GBR	British in England and Scotland	EUR	European
HG00103	HG00103	male	GBR	British in England and Scotland	EUR	European
HG00104	HG00104	female	GBR	British in England and Scotland	EUR	European
HG00105	HG00105	male	GBR	British in England and Scotland	EUR	European
HG00106	HG00106	female	GBR	British in England and Scotland	EUR	European
HG00107	HG00107	male	GBR	British in England and Scotland	EUR	European
HG00108	HG00108	male	GBR	British in England and Scotland	EUR	European
HG00109	HG00109	male	GBR	British in England and Scotland	EUR	European
HG00110	HG00110	female	GBR	British in England and Scotland	EUR	European
HG00111	HG00111	female	GBR	British in England and Scotland	EUR	European
HG00112	HG00112	male	GBR	British in England and Scotland	EUR	European
HG00113	HG00113	male	GBR	British in England and Scotland	EUR	European
HG00114	HG00114	male	GBR	British in England and Scotland	EUR	European
HG00115	HG00115	male	GBR	British in England and Scotland	EUR	European
HG00116	HG00116	male	GBR	British in England and Scotland	EUR	European
HG00117	HG00117	male	GBR	British in England and Scotland	EUR	European
HG00118	HG00118	female	GBR	British in England and Scotland	EUR	European
HG00119	HG00119	male	GBR	British in England and Scotland	EUR	European
HG00120	HG00120	female	GBR	British in England and Scotland	EUR	European
HG00121	HG00121	female	GBR	British in England and Scotland	EUR	European
HG00122	HG00122	female	GBR	British in England and Scotland	EUR	European
HG00123	HG00123	female	GBR	British in England and Scotland	EUR	European
HG00124	HG00124	female	GBR	British in England and Scotland	EUR	European
HG00125	HG00125	female	GBR	British in England and Scotland	EUR	European
HG00126	HG00126	male	GBR	British in England and Scotland	EUR	European
HG00127	HG00127	female	GBR	British in England and Scotland	EUR	European
HG00128	HG00128	female	GBR	British in England and Scotland	EUR	European
HG00129	HG00129	male	GBR	British in England and Scotland	EUR	European
HG00130	HG00130	female	GBR	British in England and Scotland	EUR	European
HG00131	HG00131	male	GBR	British in England and Scotland	EUR	European
HG00132	HG00132	female	GBR	British in England and Scotland	EUR	European
HG00133	HG00133	female	GBR	British in England and Scotland	EUR	European
HG00134	HG00134	female	GBR	British in England and Scotland	EUR	European
HG00135	HG00135	female	GBR	British in England and Scotland	EUR	European
HG00136	HG00136	male	GBR	British in England and Scotland	EUR	European
HG00137	HG00137	female	GBR	British in England and Scotland	EUR	European
HG00138	HG00138	male	GBR	British in England and Scotland	EUR	European
HG00139	HG00139	male	GBR	British in England and Scotland	EUR	European
HG00140	HG00140	male	GBR	British in England and Scotland	EUR	European
HG00141	HG00141	male	GBR	British in England and Scotland	EUR	European
HG00142	HG00142	male	GBR	British in England and Scotland	EUR	European
HG00143	HG00143	male	GBR	British in England and Scotland	EUR	European
HG00144	GBR001	female	GBR	British in England and Scotland	EUR	European
HG00145	HG00145	male	GBR	British in England and Scotland	EUR	European
HG00146	GBR002	female	GBR	British in England and Scotland	EUR	European
HG00147	GBR002a	female	GBR	British in England and Scotland	EUR	European
HG00148	HG00148	male	GBR	British in England and Scotland	EUR	European
HG00149	HG00149	male	GBR	British in England and Scotland	EUR	European
HG00150	HG00150	female	GBR	British in England and Scotland	EUR	European
HG00151	HG00151	male	GBR	British in England and Scotland	EUR	European
HG00152	HG00152	male	GBR	British in England and Scotland	EUR	European
HG00153	GBR003	female	GBR	British in England and Scotland	EUR	European
HG00154	HG00154	female	GBR	British in England and Scotland	EUR	European
HG00155	GBR001	male	GBR	British in England and Scotland	EUR	European
HG00156	HG00156	male	GBR	British in England and Scotland	EUR	European
HG00157	HG00157	male	GBR	British in England and Scotland	EUR	European
HG00158	GBR003	female	GBR	British in England and Scotland	EUR	European
HG00159	HG00159	male	GBR	British in England and Scotland	EUR	European
HG00160	HG00160	male	GBR	British in England and Scotland	EUR	European
HG00171	HG00171	female	FIN	Finnish in Finland	EUR	European
HG00173	HG00173	female	FIN	Finnish in Finland	EUR	European
HG00174	HG00174	female	FIN	Finnish in Finland	EUR	European
HG00176	HG00176	female	FIN	Finnish in Finland	EUR	European
HG00177	HG00177	female	FIN	Finnish in Finland	EUR	European
HG00178	HG00178	female	FIN	Finnish in Finland	EUR	European
HG00179	HG00179	female	FIN	Finnish in Finland	EUR	European
HG00180	HG00180	female	FIN	Finnish in Finland	EUR	European
HG00181	HG00181	male	FIN	Finnish in Finland	EUR	European
HG00182	HG00182	male	FIN	Finnish in Finland	EUR	European
HG00183	HG00183	male	FIN	Finnish in Finland	EUR	European
HG00185	HG00185	male	FIN	Finnish in Finland	EUR	European
HG00186	HG00186	male	FIN	Finnish in Finland	EUR	European
HG00187	HG00187	male	FIN	Finnish in Finland	EUR	European
HG00188	HG00188	male	FIN	Finnish in Finland	EUR	European
HG00189	HG00189	male	FIN	Finnish in Finland	EUR	European
HG00190	HG00190	male	FIN	Finnish in Finland	EUR	European
HG00231	HG00231	female	GBR	British in England and Scotland	EUR	European
HG00232	HG00232	female	GBR	British in England and Scotland	EUR	European
HG00233	HG00233	female	GBR	British in England and Scotland	EUR	European
HG00234	HG00234	male	GBR	British in England and Scotland	EUR	European
HG00235	HG00235	female	GBR	British in England and Scotland	EUR	European
HG00236	HG00236	female	GBR	British in England and Scotland	EUR	European
HG00237	HG00237	female	GBR	British in England and Scotland	EUR	European
HG00238	HG00238	female	GBR	British in England and Scotland	EUR	European
HG00239	HG00239	female	GBR	British in England and Scotland	EUR	European
HG00240	HG00240	female	GBR	British in England and Scotland	EUR	European
HG00242	HG00242	male	GBR	British in England and Scotland	EUR	European
HG00243	HG00243	male	GBR	British in England and Scotland	EUR	European
HG00244	HG00244	male	GBR	British in England and Scotland	EUR	European
HG00245	HG00245	female	GBR	British in England and Scotland	EUR	European
HG00246	HG00246	male	GBR	British in England and Scotland	EUR	European
HG00247	GBR004	female	GBR	British in England and Scotland	EUR	European
HG00248	GBR004	female	GBR	British in England and Scotland	EUR	European
HG00249	HG00249	female	GBR	British in England and Scotland	EUR	European
HG00250	HG00250	female	GBR	British in England and Scotland	EUR	European
HG00251	HG00251	male	GBR	British in England and Scotland	EUR	European
HG00252	HG00252	male	GBR	British in England and Scotland	EUR	European
HG00253	HG00253	female	GBR	British in England and Scotland	EUR	European
HG00254	HG00254	female	GBR	British in England and Scotland	EUR	European
HG00255	HG00255	female	GBR	British in England and Scotland	EUR	European
HG00256	HG00256	male	GBR	British in England and Scotland	EUR	European
HG00257	HG00257	female	GBR	British in England and Scotland	EUR	European
HG00258	HG00258	female	GBR	British in England and Scotland	EUR	European
HG00259	HG00259	female	GBR	British in England and Scotland	EUR	European
HG00260	HG00260	male	GBR	British in England and Scotland	EUR	European
HG00261	HG00261	female	GBR	British in England and Scotland	EUR	European
HG00262	HG00262	female	GBR	British in England and Scotland	EUR	European
HG00263	HG00263	female	GBR	British in England and Scotland	EUR	European
HG00264	HG00264	male	GBR	British in England and Scotland	EUR	European
HG00265	HG00265	male	GBR	British in England and Scotland	EUR	European
HG00266	HG00266	female	FIN	Finnish in Finland	EUR	European
HG00267	HG00267	male	FIN	Finnish in Finland	EUR	European
HG00268	HG00268	female	FIN	Finnish in Finland	EUR	European
HG00269	HG00269	female	FIN	Finnish in Finland	EUR	European
HG00270	HG00270	female	FIN	Finnish in Finland	EUR	European
HG00271	HG00271	male	FIN	Finnish in Finland	EUR	European
HG00272	HG00272	female	FIN	Finnish in Finland	EUR	European
HG00273	HG00273	male	FIN	Finnish in Finland	EUR	European
HG00274	HG00274	female	FIN	Finnish in Finland	EUR	European
HG00275	HG00275	female	FIN	Finnish in Finland	EUR	European
HG00276	HG00276	female	FIN	Finnish in Finland	EUR	European
HG00277	HG00277	male	FIN	Finnish in Finland	EUR	European
HG00278	HG00278	male	FIN	Finnish in Finland	EUR	European
HG00280	HG00280	male	FIN	Finnish in Finland	EUR	European
HG00281	HG00281	female	FIN	Finnish in Finland	EUR	European
HG00282	HG00282	female	FIN	Finnish in Finland	EUR	European
HG00284	HG00284	male	FIN	Finnish in Finland	EUR	European
HG00285	HG00285	female	FIN	Finnish in Finland	EUR	European
HG00288	HG00288	female	FIN	Finnish in Finland	EUR	European
HG00290	HG00290	male	FIN	Finnish in Finland	EUR	European
HG00302	HG00302	female	FIN	Finnish in Finland	EUR	European
HG00303	HG00303	male	FIN	Finnish in Finland	EUR	European
HG00304	HG00304	female	FIN	Finnish in Finland	EUR	European
HG00306	HG00306	female	FIN	Finnish in Finland	EUR	European
HG00308	HG00308	male	FIN	Finnish in Finland	EUR	European
HG00309	HG00309	female	FIN	Finnish in Finland	EUR	European
HG00310	HG00310	male	FIN	Finnish in Finland	EUR	European
HG00311	HG00311	male	FIN	Finnish in Finland	EUR	European
HG00312	HG00312	male	FIN	Finnish in Finland	EUR	European
HG00313	HG00313	female	FIN	Finnish in Finland	EUR	European
HG00315	HG00315	female	FIN	Finnish in Finland	EUR	European
HG00318	HG00318	female	FIN	Finnish in Finland	EUR	European
HG00319	HG00319	female	FIN	Finnish in Finland	EUR	European
HG00320	HG00320	female	FIN	Finnish in Finland	EUR	European
HG00321	HG00321	male	FIN	Finnish in Finland	EUR	European
HG00323	HG00323	female	FIN	Finnish in Finland	EUR	European
HG00324	HG00324	female	FIN	Finnish in Finland	EUR	European
HG00325	HG00325	male	FIN	Finnish in Finland	EUR	European
HG00326	HG00326	female	FIN	Finnish in Finland	EUR	European
HG00327	HG00327	female	FIN	Finnish in Finland	EUR	European
HG00328	HG00328	female	FIN	Finnish in Finland	EUR	European
HG00329	HG00329	male	FIN	Finnish in Finland	EUR	European
HG00330	HG00330	female	FIN	Finnish in Finland	EUR	European
HG00331	HG00331	female	FIN	Finnish in Finland	EUR	European
HG00332	HG00332	female	FIN	Finnish in Finland	EUR	European
HG00334	HG00334	female	FIN	Finnish in Finland	EUR	European
HG00335	HG00335	male	FIN	Finnish in Finland	EUR	European
HG00336	HG00336	male	FIN	Finnish in Finland	EUR	European
HG00337	HG00337	female	FIN	Finnish in Finland	EUR	European
HG00338	HG00338	male	FIN	Finnish in Finland	EUR	European
HG00339	HG00339	female	FIN	Finnish in Finland	EUR	European
HG00341	HG00341	male	FIN	Finnish in Finland	EUR	European
HG00342	HG00342	male	FIN	Finnish in Finland	EUR	European
HG00343	HG00343	female	FIN	Finnish in Finland	EUR	European
HG00344	HG00344	female	FIN	Finnish in Finland	EUR	European
HG00345	HG00345	male	FIN	Finnish in Finland	EUR	European
HG00346	HG00346	female	FIN	Finnish in Finland	EUR	European
HG00349	HG00349	female	FIN	Finnish in Finland	EUR	European
HG00350	HG00350	female	FIN	Finnish in Finland	EUR	European
HG00351	HG00351	male	FIN	Finnish in Finland	EUR	European
HG00353	HG00353	female	FIN	Finnish in Finland	EUR	European
HG00355	HG00355	female	FIN	Finnish in Finland	EUR	European
HG00356	HG00356	female	FIN	Finnish in Finland	EUR	European
HG00357	HG00357	female	FIN	Finnish in Finland	EUR	European
HG00358	HG00358	male	FIN	Finnish in Finland	EUR	European
HG00359	HG00359	female	FIN	Finnish in Finland	EUR	European
HG00360	HG00360	male	FIN	Finnish in Finland	EUR	European
HG00361	HG00361	female	FIN	Finnish in Finland	EUR	European
HG00362	HG00362	female	FIN	Finnish in Finland	EUR	European
HG00364	HG00364	female	FIN	Finnish in Finland	EUR	European
HG00365	HG00365	female	FIN	Finnish in Finland	EUR	European
HG00366	HG00366	male	FIN	Finnish in Finland	EUR	European
HG00367	HG00367	female	FIN	Finnish in Finland	EUR	European
HG00368	HG00368	female	FIN	Finnish in Finland	EUR	European
HG00369	HG00369	male	FIN	Finnish in Finland	EUR	European
HG00371	HG00371	male	FIN	Finnish in Finland	EUR	European
HG00372	HG00372	male	FIN	Finnish in Finland	EUR	European
HG00373	HG00373	female	FIN	Finnish in Finland	EUR	European
HG00375	HG00375	male	FIN	Finnish in Finland	EUR	European
HG00376	HG00376	female	FIN	Finnish in Finland	EUR	European
HG00377	HG00377	female	FIN	Finnish in Finland	EUR	European
HG00378	HG00378	female	FIN	Finnish in Finland	EUR	European
HG00379	HG00379	female	FIN	Finnish in Finland	EUR	European
HG00380	HG00380	female	FIN	Finnish in Finland	EUR	European
HG00381	HG00381	female	FIN	Finnish in Finland	EUR	European
HG00382	HG00382	male	FIN	Finnish in Finland	EUR	European
HG00383	HG00383	female	FIN	Finnish in Finland	EUR	European
HG00384	HG00384	female	FIN	Finnish in Finland	EUR	European
HG00403	SH001	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00404	SH001	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00405	SH001	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00406	SH002	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00407	SH002	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00408	SH002	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00409	SH003	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00410	SH003	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00411	SH003	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00418	SH006	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00419	SH006	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00420	SH006	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00421	SH007	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00422	SH007	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00423	SH007	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00427	SH009	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00428	SH009	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00429	SH009	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00436	SH012	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00437	SH012	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00438	SH012	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00442	SH014	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00443	SH014	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00444	SH014	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00445	SH015	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00446	SH015	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00447	SH015	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00448	SH016	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00449	SH016	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00450	SH016	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00451	SH017	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00452	SH017	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00453	SH017	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00457	SH019	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00458	SH019	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00459	SH019	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00463	SH021	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00464	SH021	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00465	SH021	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00472	SH024	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00473	SH024	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00474	SH024	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00475	SH025	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00476	SH025	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00477	SH025	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00478	SH026	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00479	SH026	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00480	SH026	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00500	SH028	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00501	SH028	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00502	SH028	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00512	SH032	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00513	SH032	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00514	SH032	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00524	SH036	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00525	SH036	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00526	SH036	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00530	SH038	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00531	SH038	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00532	SH038	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00533	SH039	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00534	SH039	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00535	SH039	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00536	SH040	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00537	SH040	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00538	SH040	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00542	SH042	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00543	SH042	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00544	SH042	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00551	PR01	female	PUR	Puerto Rican in Puerto Rico	AMR	American
HG00552	PR01	male	PUR	Puerto Rican in Puerto Rico	AMR	American
HG00553	PR02	male	PUR	Puerto Rican in Puerto Rico	AMR	American
HG00554	PR02	female	PUR	Puerto Rican in Puerto Rico	AMR	American
HG00555	PR02	female	PUR	Puerto Rican in Puerto Rico	AMR	American
HG00556	SH045	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00557	SH045	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00558	SH045	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00559	SH046	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00560	SH046	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00561	SH046	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00565	SH048	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00566	SH048	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00567	SH048	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00577	SH052	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00578	SH052	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00579	SH052	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00580	SH053	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00581	SH053	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00582	SH053	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00583	SH054	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00584	SH054	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00585	SH054	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00589	SH056	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00590	SH056	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00591	SH056	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00592	SH057	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00593	SH057	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00594	SH057	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00595	SH058	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00596	SH058	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00597	SH058	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00598	SH059	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00599	SH059	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00600	SH059	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00607	SH062	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00608	SH062	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00609	SH062	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00610	SH063	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00611	SH063	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00612	SH063	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00613	SH064	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00614	SH064	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00615	SH064	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00619	SH066	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00620	SH066	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00621	SH066	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00622	SH067	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00623	SH067	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00624	SH067	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00625	SH068	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00626	SH068	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00627	SH068	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00628	SH069	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00629	SH069	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00630	SH069	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00631	SH070	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00632	SH070	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00633	SH070	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00634	SH071	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00635	SH071	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00636	SH071	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00637	PR03	male	PUR	Puerto Rican in Puerto Rico	AMR	American
HG00638	PR03	female	PUR	Puerto Rican in Puerto Rico	AMR	American
HG00639	PR03	female	PUR	Puerto Rican in Puerto Rico	AMR	American
HG00640	PR04	male	PUR	Puerto Rican in Puerto Rico	AMR	American
HG00641	PR04	female	PUR	Puerto Rican in Puerto Rico	AMR	American
HG00642	PR04	male	PUR	Puerto Rican in Puerto Rico	AMR	American
HG00650	SH072	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00651	SH072	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00652	SH072	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00653	SH073	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00654	SH073	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00655	SH073	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00656	SH074	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00657	SH074	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00658	SH074	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00662	SH076	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00663	SH076	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00664	SH076	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00671	SH079	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00672	SH079	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00673	SH079	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00674	SH080	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00675	SH080	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00676	SH080	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00683	SH083	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00684	SH083	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00685	SH083	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00689	SH085	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00690	SH085	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00691	SH085	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00692	SH086	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00693	SH086	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00694	SH086	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00698	SH088	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00699	SH088	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00700	SH088	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00701	SH089	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00702	SH089	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00703	SH089	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00704	SH090	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00705	SH090	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00706	SH090	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00707	SH091	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00708	SH091	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00709	SH091	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00716	SH094	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00717	SH094	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00718	SH094	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00728	SH098	male	CHS	Southern Han Chinese, China	EAS	East Asian
HG00729	SH098	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00730	SH098	female	CHS	Southern Han Chinese, China	EAS	East Asian
HG00731	PR05	male	PUR	Puerto Rican in Puerto Rico	AMR	American
HG00732	PR05	female	PUR	Puerto Rican in Puerto Rico	AMR	American
HG00733	PR05	female	PUR	Puerto Rican in Puerto Rico	AMR	American
HG00734	PR06	female	PUR	Puerto Rican in Puerto Rico	AMR	American
HG00735	PR06	female	PUR	Puerto Rican in Puerto Rico	AMR	American
HG00736	PR07	male	PUR	Puerto Rican in Puerto Rico	AMR	American
HG00737	PR07	female	PUR	Puerto Rican in Puerto Rico	AMR	American
HG00738	PR07	male	PUR	Puerto Rican in Puerto Rico	AMR	American
HG00739	PR09	male	PUR	Puerto Rican in Puerto Rico	AMR	American
HG00740	PR09	female	PUR	Puerto Rican in Puerto Rico	AMR	American
HG00741	PR09	female	PUR	Puerto Rican in Puerto Rico	AMR	American
HG00742	PR10	male	PUR	Puerto Rican in Puerto Rico	AMR	American
HG00743	PR10	female	PUR	Puerto Rican in Puerto Rico	AMR	American
HG00759	HG00759	female	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG00766	HG00766	female	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG00844	HG00844	male	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG00851	HG00851	female	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG00864	HG00864	female	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG00866	CDX1	male	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG00867	CDX1	female	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG00879	HG00879	female	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG00881	HG00881	male	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG00956	HG00956	female	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG00978	HG00978	female	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG00982	HG00982	male	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG00983	HG00983	male	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
