  ,Paired Raw R1 Read Count,Trimmed R1 Read Count,Trimmed % R1 Read Count,hg38 aligned Count,hg38 aligned %
06-0743-01A-01R-1849-01+2,39774280,37482895,94.23,74082460,98.82
06-0744-01A-01R-1849-01+1,39886407,36893082,92.49,72811042,98.67
06-0744-01A-01R-1849-01+2,62148179,51909005,83.52,102211171,98.45
06-0745-01A-01R-1849-01+1,76836531,65454555,85.18,129243753,98.72
06-0745-01A-01R-1849-01+2,45907714,43679731,95.14,86504553,99.02
06-0747-01A-01R-1849-01+1,45152134,42546670,94.22,84067867,98.79
06-0747-01A-01R-1849-01+2,68441760,57216438,83.59,112663705,98.45
06-0749-01A-01R-1849-01+1,59277660,49771408,83.96,98101528,98.55
06-0749-01A-01R-1849-01+2,36746333,34294750,93.32,67771467,98.80
06-0750-01A-01R-1849-01+1,39667342,36033116,90.83,71105048,98.66
06-0750-01A-01R-1849-01+2,65354775,53701360,82.16,105759262,98.46
06-0878-01A-01R-1849-01+1,49870505,19747234,39.59,34587717,87.57
06-0878-01A-01R-1849-01+2,65514410,25851495,39.45,45960271,88.89
06-0882-01A-01R-1849-01+1,45387687,39440953,86.89,77235898,97.91
06-0882-01A-01R-1849-01+2,68306606,54982799,80.49,107564446,97.81
06-1804-01A-01R-1849-01+1,70036149,58147535,83.02,114133091,98.14
06-1804-01A-01R-1849-01+2,45543800,43712326,95.97,86271848,98.68
06-2557-01A-01R-1849-01+1,47733492,44831006,93.91,88276355,98.45
06-2557-01A-01R-1849-01+2,70589064,60733080,86.03,119107782,98.05
06-2558-01A-01R-1849-01+1,44844413,37914692,84.54,72472239,95.57
06-2558-01A-01R-1849-01+2,63601414,50090400,78.75,96136230,95.96
06-2559-01A-01R-1849-01+1,40916649,36579725,89.40,71610005,97.88
06-2559-01A-01R-1849-01+2,58224338,48313698,82.97,94450189,97.74
06-2561-01A-02R-1849-01+1,39113197,34996393,89.47,68284901,97.55
06-2561-01A-02R-1849-01+2,59355577,48827573,82.26,95207436,97.49
06-2562-01A-01R-1849-01+1,64686359,54939615,84.93,108203643,98.47
06-2562-01A-01R-1849-01+2,44064796,40633141,92.21,80203160,98.69
06-2563-01A-01R-1849-01+1,62788412,50925423,81.10,99195877,97.39
06-2563-01A-01R-1849-01+2,43659284,38071299,87.20,74116298,97.33
06-2564-01A-01R-1849-01+1,45561408,43320352,95.08,85659007,98.86
06-2564-01A-01R-1849-01+2,66945097,58975309,88.09,116291818,98.59
06-2565-01A-01R-1849-01+1,66265904,57096167,86.16,112093133,98.16
06-2565-01A-01R-1849-01+2,46636480,43850808,94.02,86308731,98.41
06-2567-01A-01R-1849-01+1,67306985,56754029,84.32,111323004,98.07
06-2567-01A-01R-1849-01+2,47358772,43626035,92.11,85867579,98.41
06-2569-01A-01R-1849-01+1,62795017,53564016,85.29,104703068,97.73
06-2569-01A-01R-1849-01+2,43777557,40330381,92.12,78856785,97.76
06-2570-01A-01R-1849-01+1,65207143,52429459,80.40,102346390,97.60
06-2570-01A-01R-1849-01+2,45796660,40028037,87.40,78194169,97.67
06-5408-01A-01R-1849-01+1,41685452,39163212,93.94,77247026,98.62
06-5408-01A-01R-1849-01+2,65802455,53948556,81.98,105889975,98.13
06-5410-01A-01R-1849-01+1,40538225,38599735,95.21,76264169,98.78
06-5410-01A-01R-1849-01+2,71819506,58726861,81.77,115461978,98.30
06-5411-01A-01R-1849-01+1,70904114,58380125,82.33,114863248,98.37
06-5411-01A-01R-1849-01+2,42716979,40858926,95.65,80802900,98.88
06-5412-01A-01R-1849-01+1,38416453,36477627,94.95,72085060,98.80
06-5412-01A-01R-1849-01+2,64844004,52821311,81.45,103841450,98.29
06-5413-01A-01R-1849-01+1,63671587,52582701,82.58,103325302,98.25
06-5413-01A-01R-1849-01+2,39283124,37465366,95.37,74001405,98.75
06-5414-01A-01R-1849-01+1,47592152,43950302,92.34,87008055,98.98
06-5414-01A-01R-1849-01+2,73684643,60723915,82.41,119798451,98.64
06-5415-01A-01R-1849-01+1,120494158,92067814,76.40,173805275,94.38
06-5415-01A-01R-1849-01+2,61938478,50961259,82.27,93284924,91.52
06-5416-01A-01R-1849-01+1,45839003,26927402,58.74,50448041,93.67
06-5416-01A-01R-1849-01+2,64681662,35521182,54.91,66919228,94.19
06-5417-01A-01R-1849-01+1,48791241,13252897,27.16,18729482,70.66
06-5417-01A-01R-1849-01+2,61937441,16290893,26.30,24419493,74.94
06-5418-01A-01R-1849-01+1,67663034,53772107,79.47,105791199,98.36
06-5418-01A-01R-1849-01+2,43390212,38157682,87.94,75225620,98.57
06-5856-01A-01R-1849-01+1,39876763,37830092,94.86,74672445,98.69
06-5856-01A-01R-1849-01+2,64133691,52895864,82.47,103892719,98.20
06-5858-01A-01R-1849-01+1,40281206,38607615,95.84,76333304,98.85
06-5858-01A-01R-1849-01+2,63861309,53243478,83.37,104723700,98.34
06-5859-01A-01R-1849-01+1,40444394,38698662,95.68,76548284,98.90
06-5859-01A-01R-1849-01+2,67384804,55536232,82.41,109278949,98.38
06-A5U0-01A-11R-A344-08+1,59487717,57821207,97.19,114455126,98.97
06-A5U1-01A-11R-A344-08+1,64829390,62863189,96.96,124404219,98.94
