  ,Paired Raw R1 Read Count,Trimmed R1 Read Count,Trimmed % R1 Read Count
06-2561-01A-02R-1849-01+1,39113197,34996393,89.47
06-2561-01A-02R-1849-01+2,59355577,48827573,82.26
06-2562-01A-01R-1849-01+1,64686359,54939615,84.93
06-2562-01A-01R-1849-01+2,44064796,40633141,92.21
06-2563-01A-01R-1849-01+1,62788412,50925423,81.10
06-2563-01A-01R-1849-01+2,43659284,38071299,87.20
06-2564-01A-01R-1849-01+1,45561408,43320352,95.08
06-2564-01A-01R-1849-01+2,66945097,58975309,88.09
06-2565-01A-01R-1849-01+1,66265904,57096167,86.16
06-2565-01A-01R-1849-01+2,46636480,43850808,94.02
06-2567-01A-01R-1849-01+1,67306985,56754029,84.32
06-2567-01A-01R-1849-01+2,47358772,43626035,92.11
06-2569-01A-01R-1849-01+1,62795017,53564016,85.29
06-2569-01A-01R-1849-01+2,43777557,40330381,92.12
06-2570-01A-01R-1849-01+1,65207143,52429459,80.40
06-2570-01A-01R-1849-01+2,45796660,40028037,87.40
06-5408-01A-01R-1849-01+1,41685452,39163212,93.94
06-5408-01A-01R-1849-01+2,65802455,53948556,81.98
06-5410-01A-01R-1849-01+1,40538225,38599735,95.21
06-5410-01A-01R-1849-01+2,71819506,58726861,81.77
06-5411-01A-01R-1849-01+1,70904114,58380125,82.33
06-5411-01A-01R-1849-01+2,42716979,40858926,95.65
06-5412-01A-01R-1849-01+1,38416453,36477627,94.95
06-5412-01A-01R-1849-01+2,64844004,52821311,81.45
06-5413-01A-01R-1849-01+1,63671587,52582701,82.58
06-5413-01A-01R-1849-01+2,39283124,37465366,95.37
06-5414-01A-01R-1849-01+1,47592152,43950302,92.34
06-5414-01A-01R-1849-01+2,73684643,60723915,82.41
06-5415-01A-01R-1849-01+1,120494158,92067814,76.40
06-5415-01A-01R-1849-01+2,61938478,50961259,82.27
06-5416-01A-01R-1849-01+1,45839003,26927402,58.74
06-5416-01A-01R-1849-01+2,64681662,35521182,54.91
06-5417-01A-01R-1849-01+1,48791241,13252897,27.16
06-5417-01A-01R-1849-01+2,61937441,16290893,26.30
06-5418-01A-01R-1849-01+1,67663034,53772107,79.47
06-5418-01A-01R-1849-01+2,43390212,38157682,87.94
06-5856-01A-01R-1849-01+1,39876763,37830092,94.86
06-5856-01A-01R-1849-01+2,64133691,52895864,82.47
06-5858-01A-01R-1849-01+1,40281206,38607615,95.84
06-5858-01A-01R-1849-01+2,63861309,53243478,83.37
06-5859-01A-01R-1849-01+1,40444394,38698662,95.68
06-5859-01A-01R-1849-01+2,67384804,55536232,82.41
06-A5U0-01A-11R-A344-08+1,59487717,57821207,97.19
06-A5U1-01A-11R-A344-08+1,64829390,62863189,96.96
06-A6S0-01A-11R-A344-08+1,63451632,61569144,97.03
06-A6S1-01A-11R-A344-08+1,60352947,58530811,96.98
06-A7TK-01A-21R-A39C-08+1,51526745,49816269,96.68
06-A7TL-01A-11R-A39C-08+1,32465502,31492061,97.00
06-AABW-11A-31R-A36H-07+1,55420464,54282675,97.94
08-0386-01A-01R-1849-01+1,42042725,39580934,94.14
08-0386-01A-01R-1849-01+2,61211188,51155190,83.57
12-0616-01A-01R-1849-01+1,60581390,37688635,62.21
12-0616-01A-01R-1849-01+2,38847358,26514881,68.25
12-0618-01A-01R-1849-01+1,50250557,48220691,95.96
12-0618-01A-01R-1849-01+2,74632005,63869042,85.57
12-0619-01A-01R-1849-01+1,46419592,43458557,93.62
12-0619-01A-01R-1849-01+2,70742308,58866655,83.21
12-0821-01A-01R-1849-01+1,81082632,53987015,66.58
12-0821-01A-01R-1849-01+2,55734045,38358372,68.82
12-1597-01B-01R-1849-01+1,39808181,31679475,79.58
12-1597-01B-01R-1849-01+2,68871338,50716850,73.63
12-3650-01A-01R-1849-01+1,50374713,29953842,59.46
12-3650-01A-01R-1849-01+2,35867487,23045060,64.25
12-3652-01A-01R-1849-01+1,39713182,30693218,77.28
12-3652-01A-01R-1849-01+2,62264508,44534155,71.52
12-3653-01A-01R-1849-01+1,50772638,27064027,53.30
12-3653-01A-01R-1849-01+2,70194984,35080754,49.97
12-5295-01A-01R-1849-01+1,42225178,30548009,72.34
12-5295-01A-01R-1849-01+2,65418422,44199863,67.56
12-5299-01A-02R-1849-01+1,70386823,58216330,82.70
12-5299-01A-02R-1849-01+2,43898092,40392521,92.01
14-0736-02A-01R-2005-01+1,39304008,30417952,77.39
14-0736-02A-01R-2005-01+2,26275936,21654400,82.41
14-0781-01B-01R-1849-01+1,73674027,60565561,82.20
14-0781-01B-01R-1849-01+2,41377249,39346049,95.09
14-0787-01A-01R-1849-01+1,52570129,33164188,63.08
14-0787-01A-01R-1849-01+2,38565388,25782929,66.85
14-0789-01A-01R-1849-01+1,43823900,32756518,74.74
14-0789-01A-01R-1849-01+2,61884281,43584627,70.42
14-0790-01B-01R-1849-01+1,40470088,28346046,70.04
14-0790-01B-01R-1849-01+2,57597213,37733621,65.51
14-0817-01A-01R-1849-01+1,75980184,53732552,70.71
14-0817-01A-01R-1849-01+2,48836321,35664856,73.02
14-0871-01A-01R-1849-01+1,50523837,17318189,34.27
14-0871-01A-01R-1849-01+2,40017352,14567879,36.40
14-1034-01A-01R-1849-01+1,32665402,29508360,90.33
14-1034-01A-01R-1849-01+2,45860828,38251845,83.40
14-1034-02B-01R-2005-01+1,43403247,29243602,67.37
14-1034-02B-01R-2005-01+2,59032122,37334471,63.24
14-1402-02A-01R-2005-01+1,57447306,44944287,78.23
14-1402-02A-01R-2005-01+2,33841361,27670142,81.76
14-1823-01A-01R-1849-01+1,65815631,42384698,64.39
14-1823-01A-01R-1849-01+2,42163164,27561010,65.36
14-1825-01A-01R-1850-01+1,50405056,19457123,38.60
14-1825-01A-01R-1850-01+2,40641063,16915747,41.62
14-1829-01A-01R-1850-01+1,42694112,30547694,71.55
14-1829-01A-01R-1850-01+2,67361781,47946057,71.17
14-2554-01A-01R-1850-01+1,40570072,37649542,92.80
14-2554-01A-01R-1850-01+2,66392312,57114860,86.02
15-0742-01A-01R-1850-01+1,38912027,34892259,89.66
15-0742-01A-01R-1850-01+2,58846541,47219496,80.24
15-1444-01A-02R-1850-01+1,73367665,59944281,81.70
15-1444-01A-02R-1850-01+2,44948144,42169485,93.81
16-0846-01A-01R-1850-01+1,60070145,48878451,81.36
16-0846-01A-01R-1850-01+2,38933492,34084635,87.54
16-1045-01B-01R-1850-01+1,56336075,42624773,75.66
16-1045-01B-01R-1850-01+2,39569084,32231622,81.45
19-0957-02A-11R-2005-01+1,40083277,37163107,92.71
19-0957-02A-11R-2005-01+2,60079198,51293643,85.37
19-1389-02A-21R-2005-01+1,36134463,33437035,92.53
19-1389-02A-21R-2005-01+2,56999390,49042133,86.03
19-1390-01A-01R-1850-01+1,73585262,61087484,83.01
19-1390-01A-01R-1850-01+2,49816261,46726830,93.79
19-1787-01B-01R-1850-01+1,76773771,58048770,75.61
19-1787-01B-01R-1850-01+2,49992726,41950716,83.91
19-2619-01A-01R-1850-01+1,76667237,60277935,78.62
19-2619-01A-01R-1850-01+2,50541760,44859983,88.75
19-2620-01A-01R-1850-01+1,59634667,32856949,55.09
19-2620-01A-01R-1850-01+2,42683133,24718263,57.91
