sample,read count,average length,raw AC_000005.1,RM AC_000005.1,hg38 AC_000005.1,RM+hg38 AC_000005.1,raw AC_000007.1,RM AC_000007.1,hg38 AC_000007.1,RM+hg38 AC_000007.1,raw AC_000017.1,RM AC_000017.1,hg38 AC_000017.1,RM+hg38 AC_000017.1,raw AC_000018.1,RM AC_000018.1,hg38 AC_000018.1,RM+hg38 AC_000018.1,raw AC_000019.1,RM AC_000019.1,hg38 AC_000019.1,RM+hg38 AC_000019.1,raw NC_000898.1,RM NC_000898.1,hg38 NC_000898.1,RM+hg38 NC_000898.1,raw NC_001352.1,RM NC_001352.1,hg38 NC_001352.1,RM+hg38 NC_001352.1,raw NC_001357.1,RM NC_001357.1,hg38 NC_001357.1,RM+hg38 NC_001357.1,raw NC_001405.1,RM NC_001405.1,hg38 NC_001405.1,RM+hg38 NC_001405.1,raw NC_001460.1,RM NC_001460.1,hg38 NC_001460.1,RM+hg38 NC_001460.1,raw NC_001587.1,RM NC_001587.1,hg38 NC_001587.1,RM+hg38 NC_001587.1,raw NC_001593.1,RM NC_001593.1,hg38 NC_001593.1,RM+hg38 NC_001593.1,raw NC_001664.4,RM NC_001664.4,hg38 NC_001664.4,RM+hg38 NC_001664.4,raw NC_001716.2,RM NC_001716.2,hg38 NC_001716.2,RM+hg38 NC_001716.2,raw NC_001798.2,RM NC_001798.2,hg38 NC_001798.2,RM+hg38 NC_001798.2,raw NC_001806.2,RM NC_001806.2,hg38 NC_001806.2,RM+hg38 NC_001806.2,raw NC_006273.2,RM NC_006273.2,hg38 NC_006273.2,RM+hg38 NC_006273.2,raw NC_006577.2,RM NC_006577.2,hg38 NC_006577.2,RM+hg38 NC_006577.2,raw NC_007605.1,RM NC_007605.1,hg38 NC_007605.1,RM+hg38 NC_007605.1,raw NC_009333.1,RM NC_009333.1,hg38 NC_009333.1,RM+hg38 NC_009333.1,raw NC_009334.1,RM NC_009334.1,hg38 NC_009334.1,RM+hg38 NC_009334.1,raw NC_011203.1,RM NC_011203.1,hg38 NC_011203.1,RM+hg38 NC_011203.1,raw NC_020890.1,RM NC_020890.1,hg38 NC_020890.1,RM+hg38 NC_020890.1,raw NC_028459.1,RM NC_028459.1,hg38 NC_028459.1,RM+hg38 NC_028459.1,raw NC_038524.1,RM NC_038524.1,hg38 NC_038524.1,RM+hg38 NC_038524.1,raw NC_038889.1,RM NC_038889.1,hg38 NC_038889.1,RM+hg38 NC_038889.1
DU-5854-10A-01D-1703,200863488,51,4,2,4,2,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11194,14,2,1,0,0,0,0,8,8,0,0,41,0,0,0,4,2,4,2,2,0,0,0,0,0,0,0,11206,75,2,0,11202,11135,106,1,889,109,8,3,280,12,55,0,35,0,1,0,0,0,0,0,80,50,0,0,75,55,24,4,2,0,2,0,3,0,3,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0
DU-5870-10A-01D-A461,340931897,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23772,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23756,0,0,0,22223,22874,0,0,15,17,0,0,152,25,2,2,0,0,0,0,0,0,0,0,3,3,0,0,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DU-5872-10A-01D-1703,183390182,51,1,1,1,1,71,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,11610,12,1,1,0,0,0,0,7,7,0,0,71,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,11582,60,6,4,11553,11499,115,5,1035,146,13,10,322,15,94,1,52,1,2,1,0,0,0,0,92,63,0,0,84,54,31,1,2,1,2,1,5,1,5,1,1,1,0,0,117,0,0,0,0,0,0,0,0,0,0,0
DU-5872-10A-01D-A465,344575909,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28805,3,0,0,27456,28110,1,1,47,50,0,0,194,23,2,3,0,0,0,0,0,0,0,0,10,11,1,1,28,28,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DU-5874-10A-01D-1705,472335483,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17135,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17253,14,0,0,17125,17164,0,0,140,127,0,0,448,68,0,0,0,0,0,0,0,0,0,0,1380,1387,0,0,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DU-6392-10A-01D-1703,180369181,51,1,1,1,1,60,0,0,0,5,0,0,0,0,0,0,0,1,1,1,1,12461,5,1,1,0,0,0,0,7,7,0,0,60,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,12408,52,1,1,12440,12392,128,1,796,116,9,6,334,13,83,2,41,0,0,0,0,0,0,0,101,69,1,0,74,47,33,6,1,0,1,0,1,0,1,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0
DU-6397-10A-01D-A461,346286899,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27304,0,0,0,25836,26640,0,0,38,36,0,0,95,18,2,2,0,0,0,0,0,0,0,0,5,5,0,0,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DU-6399-10A-01D-1703,221118219,51,2,0,2,0,90,0,0,0,6,1,2,1,0,0,0,0,0,0,0,0,16762,13,0,0,0,0,0,0,14,14,0,0,90,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,16729,85,6,2,16792,16719,210,1,1185,156,13,7,340,15,95,1,65,1,2,1,3,3,0,0,106,80,1,1,95,63,36,5,8,1,8,1,1,0,1,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0
DU-6401-10A-01D-1705,554262180,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19784,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19851,9,0,0,19769,19836,0,0,75,74,0,0,235,14,0,0,0,0,0,0,0,0,0,0,458,452,0,0,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DU-6402-10A-01D-1703,213624750,51,3,1,3,1,78,0,0,0,5,0,0,0,1,0,1,0,0,0,0,0,15352,17,3,2,0,0,0,0,13,13,0,0,78,0,0,0,3,1,3,1,4,0,0,0,0,0,0,0,15210,91,2,1,15292,15243,188,2,1234,181,16,15,371,16,122,3,69,0,0,0,1,1,0,0,100,74,1,1,95,63,43,11,2,1,2,1,3,0,3,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0
