  ,Paired Raw R1 Read Count,Trimmed R1 Read Count,Trimmed % R1 Read Count
SRR1324043,37606638,34762340,92.43
SRR1324371,38210100,35617756,93.21
SRR1324431,34340499,32193404,93.74
SRR1324452,45314713,42423616,93.61
SRR1325332,36266518,31831678,87.77
SRR1325401,43217022,33655309,77.87
SRR1325665,33685146,31086248,92.28
SRR1325927,39212820,36178595,92.26
SRR1325964,35971702,28188372,78.36
SRR1325986,43009914,38598983,89.74
SRR1326179,51522224,49346104,95.77
SRR1326366,43677662,41605469,95.25
SRR1327593,55187689,52917776,95.88
SRR1327811,48936982,43120405,88.11
SRR1327975,41518192,37122418,89.41
SRR1328035,36538169,33093820,90.57
SRR1328487,35907266,32772345,91.26
SRR1328599,52409228,50196818,95.77
SRR1328895,31171336,28996654,93.02
SRR1328919,37850150,34896638,92.19
SRR1328960,46905591,41884657,89.29
SRR1329090,38221844,35838816,93.76
SRR1329334,40024476,36574754,91.38
SRR1329377,71010326,68055553,95.83
SRR1329551,47292715,43088812,91.11
SRR1329761,46237028,41940169,90.70
SRR1329835,39693446,35557912,89.58
SRR1329885,44635819,40771260,91.34
SRR1330041,35947567,32111438,89.32
SRR1330061,36257057,32852665,90.61
SRR1330346,59495742,55768468,93.73
SRR1330498,56232832,44263519,78.71
SRR1330546,62017392,57786840,93.17
SRR1330656,46060887,42872883,93.07
SRR1330675,47378706,43159993,91.09
SRR1330699,54306584,44729141,82.36
SRR1331289,42669030,39239827,91.96
SRR1331335,43347528,37950640,87.54
SRR1331466,48919131,44132081,90.21
SRR1331511,62495906,59905253,95.85
SRR1331534,40663568,35842565,88.14
SRR1331579,44863842,42892647,95.60
SRR1331597,58391808,55752001,95.47
SRR1331751,37070842,34615062,93.37
SRR1331841,34470679,31634455,91.77
SRR1331944,44170668,41550359,94.06
SRR1332048,35660820,32309227,90.60
SRR1332275,33356523,30989190,92.90
SRR1332317,38282148,29969475,78.28
SRR1332796,34177556,30560401,89.41
SRR1332856,64805159,62038870,95.73
SRR1333352,40151055,37744621,94.00
SRR1333587,38274443,35076575,91.64
SRR1333694,37773996,33565804,88.85
SRR1333741,43852763,39782639,90.71
SRR1333767,47493451,43471543,91.53
SRR1333930,38140657,34445245,90.31
SRR1334033,50608216,46256400,91.40
SRR1334440,38253893,34065685,89.05
SRR1334564,44415694,36974452,83.24
SRR1334717,49354028,44203361,89.56
SRR1334741,39928438,36122745,90.46
SRR1334847,36207305,33190718,91.66
SRR1334960,39057322,35971904,92.10
SRR1335029,39327940,36901274,93.82
SRR1335047,32916431,30151434,91.59
SRR1335064,48400446,43054868,88.95
SRR1335254,42281987,37983219,89.83
SRR1335377,46992182,41600330,88.52
SRR1335400,42520253,36707596,86.32
SRR1335446,43954246,39071949,88.89
SRR1335651,43601456,38924143,89.27
SRR1335688,36795610,33661571,91.48
SRR1335707,40088472,33114671,82.60
SRR1335856,39135695,34702541,88.67
SRR1336006,55577927,47822646,86.04
SRR1336069,34789130,31566419,90.73
SRR1336158,37176139,32291162,86.85
SRR1336292,45038291,41243009,91.57
SRR1336357,57181274,54127982,94.66
SRR1336379,38381584,36056869,93.94
SRR1336481,46394573,40897969,88.15
SRR1336548,34779594,32377831,93.09
SRR1336660,40745213,36910554,90.58
SRR1336727,49600828,47382255,95.52
SRR1336887,52809356,47001061,89.00
SRR1337074,57371800,48601247,84.71
SRR1337098,41257713,36735114,89.03
SRR1337119,32828039,30864008,94.01
SRR1337412,39428897,36622932,92.88
SRR1337431,37867080,32090986,84.74
SRR1337564,46518470,40564461,87.20
SRR1337648,37045712,31007874,83.70
SRR1337864,45291283,41819813,92.33
SRR1337909,62658214,60112739,95.93
SRR1338219,46417119,42292562,91.11
SRR1338301,39154147,35467959,90.58
SRR1338323,40930292,35382467,86.44
SRR1338584,39315012,35895613,91.30
SRR1338627,76506140,73441647,95.99
SRR1338669,48334445,44572809,92.21
SRR1338923,41009082,37475246,91.38
SRR1339218,33699716,28685989,85.12
SRR1339387,35047655,31621327,90.22
SRR1339530,41421892,37445314,90.39
SRR1339549,41915404,37830064,90.25
SRR1339651,48722251,42537521,87.30
SRR1339740,32755089,30523228,93.18
SRR1339968,51459053,47707325,92.70
SRR1340095,40839175,31540304,77.23
SRR1340133,39579182,35580649,89.89
SRR1340202,40228137,37559092,93.36
SRR1340301,32656815,29164308,89.30
SRR1340420,35514926,31735415,89.35
SRR1340463,44663164,39202218,87.77
SRR1340508,145018970,131789347,90.87
SRR1340700,100677272,96714977,96.06
SRR1340907,35618163,32460616,91.13
SRR1341008,43378240,39384916,90.79
SRR1341057,37837092,35353775,93.43
SRR1341277,42037888,38636335,91.90
SRR1341365,36577725,34418690,94.09
SRR1341387,36311967,34114308,93.94
SRR1341521,42446538,36568699,86.15
SRR1341605,47394172,42015714,88.65
SRR1341702,35816901,31832887,88.87
SRR1341763,55906928,45188315,80.82
SRR1341898,44088862,41082521,93.18
SRR1342045,44376208,34579467,77.92
SRR1343115,58735658,56273347,95.80
SRR1343197,39206860,35894762,91.55
SRR1343281,41861415,40205115,96.04
SRR1343481,43593213,39865626,91.44
SRR1343841,37463425,35213819,93.99
SRR1343879,37915125,34180608,90.15
SRR1345478,38308709,35932595,93.79
SRR1346670,35561604,33012792,92.83
SRR1346813,40566818,37791766,93.15
SRR1347688,41884880,38344509,91.54
SRR1348021,44393057,40699394,91.67
SRR1348159,59263788,53845355,90.85
SRR1348339,48569847,42968525,88.46
SRR1348360,35864967,33636876,93.78
SRR1348424,51458039,48424739,94.10
SRR1348446,39479655,36587307,92.67
SRR1348770,56952372,49887608,87.59
SRR1348861,57179826,53142818,92.93
SRR1349013,81317976,75303497,92.60
SRR1349056,58783022,52742740,89.72
SRR1349829,43384655,39288108,90.55
SRR1350107,34617689,28658980,82.78
SRR1350220,39702688,37003307,93.20
SRR1350456,116012307,111155113,95.81
SRR1350525,35169115,31351436,89.14
SRR1351325,64906549,61088309,94.11
SRR1351880,49000881,44179822,90.16
SRR1352129,36868379,30736739,83.36
SRR1352415,48167562,39684344,82.38
SRR1352554,46670357,44300278,94.92
SRR1352706,39438750,37592167,95.31
SRR1352954,50305163,47783843,94.98
SRR1352975,54879968,52527520,95.71
SRR1353157,39241495,36491215,92.99
SRR1353176,37551238,33741499,89.85
SRR1353221,39545073,31120073,78.69
SRR1353285,54620854,50220646,91.94
SRR1354013,60792213,57258393,94.18
SRR1354446,43045246,38152056,88.63
SRR1354577,51656795,48239878,93.38
SRR1354689,54693295,52013831,95.10
SRR1354734,42920972,40394511,94.11
SRR1354910,41371350,38823641,93.84
SRR1355040,34192886,31086541,90.91
SRR1355061,41362461,37028823,89.52
SRR1355150,39643422,34365415,86.68
SRR1355262,41254672,37898260,91.86
SRR1355373,66334606,63358648,95.51
SRR1355595,61133759,58489018,95.67
SRR1355613,35717376,32387854,90.67
SRR1355635,42897204,39989438,93.22
SRR1356036,34950430,31553489,90.28
SRR1356204,58440382,51878418,88.77
SRR1356375,32144165,29416683,91.51
SRR1356444,43107016,38408238,89.09
SRR1356619,43116728,38353352,88.95
SRR1357021,43079291,40454584,93.90
SRR1357189,43535944,37538918,86.22
SRR1357413,40153923,36034639,89.74
SRR1357434,39055528,35353981,90.52
SRR1357478,58656084,56065103,95.58
SRR1357523,43392785,38382078,88.45
SRR1358102,44539242,38406639,86.23
SRR1358183,46807600,43417264,92.75
SRR1358501,38727402,35447928,91.53
SRR1358561,33940717,31752003,93.55
SRR1358689,40569830,36309860,89.49
SRR1358826,45408172,42528278,93.65
SRR1359123,47556647,42618674,89.61
SRR1359171,37280930,34802332,93.35
SRR1359192,46014844,42163523,91.63
SRR1359367,34924873,32780158,93.85
SRR1359388,42361124,38713545,91.38
SRR1359630,38718448,36671338,94.71
SRR1359649,47488228,43035980,90.62
SRR1359673,41409700,36328885,87.73
SRR1360038,36387685,34250749,94.12
SRR1360104,42450134,38133560,89.83
SRR1360128,36286897,28545272,78.66
SRR1360150,35929567,28365627,78.94
SRR1360383,42081011,38334082,91.09
SRR1360563,51367995,46775240,91.05
SRR1360674,32984939,29951531,90.80
SRR1360718,40245880,37141979,92.28
SRR1360744,40553883,36848374,90.86
SRR1360868,35100266,32244306,91.86
SRR1361567,33309304,29125458,87.43
SRR1361674,35700398,33518888,93.88
SRR1361714,50624030,39548438,78.12
SRR1361736,34694288,30621431,88.26
SRR1361757,30227551,28260999,93.49
SRR1361795,63147047,56135276,88.89
SRR1362060,37228151,34700040,93.20
SRR1362183,52967311,49079120,92.65
SRR1362219,53936558,49066912,90.97
SRR1362417,63164421,60597339,95.93
SRR1362464,37604417,33432721,88.90
SRR1362532,53696342,47302161,88.09
SRR1362643,59545427,57043829,95.79
SRR1362777,42045078,37463323,89.10
SRR1362888,55259054,51124710,92.51
SRR1363633,32664444,30582803,93.62
SRR1363810,40166420,35909617,89.40
SRR1363992,42233749,39700316,94.00
SRR1364676,45225497,42188598,93.28
SRR1364739,45150757,40964336,90.72
SRR1364800,46269293,39925263,86.28
SRR1364893,35170025,32894774,93.53
SRR1365828,39801524,36957866,92.85
SRR1365987,39732935,35388331,89.06
SRR1366057,43138102,38592050,89.46
SRR1366141,35406902,33146025,93.61
SRR1366433,32780803,29790614,90.87
SRR1366579,47496004,43339602,91.24
SRR1366961,43286295,39471129,91.18
SRR1367128,65526458,61158259,93.33
SRR1367870,36093946,32929387,91.23
SRR1367943,41043374,37049921,90.27
SRR1368178,39167718,36011894,91.94
SRR1368222,41363541,35043009,84.71
SRR1368772,44201543,39971153,90.42
SRR1368835,60599902,57910539,95.56
SRR1368856,42378727,40386894,95.29
SRR1368964,45247034,35236825,77.87
SRR1369148,38594637,36181708,93.74
SRR1369219,57680410,53813284,93.29
SRR1370129,48776022,44924404,92.10
SRR1370173,41312425,38496371,93.18
SRR1370240,90442862,68652336,75.90
SRR1370262,79168684,75694205,95.61
SRR1370405,47367587,45074842,95.15
SRR1370473,59408341,56066297,94.37
SRR1370619,38528804,32925519,85.45
SRR1370797,50447311,48134123,95.41
SRR1373858,38090335,33490089,87.92
SRR1373940,48944868,43906352,89.70
SRR1374115,47025000,41836125,88.96
SRR1374221,47323602,41491991,87.67
SRR1374246,49154555,42821289,87.11
SRR1374414,42473404,40495397,95.34
SRR1375203,46040334,41841377,90.87
SRR1375271,34055840,29094358,85.43
SRR1375308,39928427,35698964,89.40
SRR1375571,45018064,35547264,78.96
SRR1375616,41418494,38698139,93.43
SRR1375635,39069711,34343379,87.90
SRR1375907,37261681,34878430,93.60
SRR1375927,51755927,46923943,90.66
SRR1375952,56248070,47567603,84.56
SRR1375976,47490605,40818988,85.95
SRR1376270,59765542,48765392,81.59
SRR1376597,36474445,33009078,90.49
SRR1377445,58498615,55766214,95.32
SRR1377927,39231978,36149610,92.14
SRR1377984,30220655,28337194,93.76
SRR1378004,56267679,52903868,94.02
SRR1378155,62124394,56509783,90.96
SRR1378841,44371873,39061201,88.03
SRR1379238,54656635,48324689,88.41
SRR1379450,34691844,32400377,93.39
SRR1379562,43185054,35824647,82.95
SRR1380680,32961938,30693581,93.11
SRR1381543,70427836,67449800,95.77
SRR1381566,48198990,43158612,89.54
SRR1381632,42441790,38064197,89.68
SRR1381673,28381039,26516787,93.43
SRR1381757,40690817,38879060,95.54
SRR1381889,47370161,39949410,84.33
SRR1382532,56795054,54140853,95.32
SRR1382570,43662930,38143342,87.35
SRR1382708,48591320,44158471,90.87
SRR1382732,35666743,31996056,89.70
SRR1382869,42297041,38672004,91.42
SRR1382956,61135684,57643646,94.28
SRR1383018,46125515,42207310,91.50
SRR1383059,49091348,38553820,78.53
SRR1383612,56080506,53688347,95.73
SRR1383633,56976189,54402115,95.48
SRR1383723,71741553,67794018,94.49
SRR1383831,39334407,35469978,90.17
SRR1384030,44463815,40880206,91.94
SRR1384234,51374585,43938704,85.52
SRR1385015,46573901,44550985,95.65
SRR1385036,62294943,58737710,94.28
SRR1385080,53664141,47463671,88.44
SRR1385124,41149595,36051372,87.61
SRR1386708,53896780,50614837,93.91
SRR1386818,52280970,47220303,90.32
SRR1387032,37782243,34513479,91.34
SRR1387072,41360496,38499030,93.08
SRR1387178,56670863,54393433,95.98
SRR1387199,71039109,67979698,95.69
SRR1387264,48264095,44346699,91.88
SRR1387809,47644912,44552179,93.50
SRR1387833,55052245,48693264,88.44
SRR1387875,39470030,36887115,93.45
SRR1387945,55591172,53284671,95.85
SRR1387989,47381992,42401578,89.48
SRR1388007,52825550,49264883,93.25
SRR1388168,34438449,31008241,90.03
SRR1388305,38968887,36697025,94.17
SRR1388323,43430917,38413013,88.44
SRR1388378,63582876,60948712,95.85
SRR1388480,45181338,40810481,90.32
SRR1388504,38341822,35352359,92.20
SRR1388979,44693289,42617060,95.35
SRR1389036,53261378,50913563,95.59
SRR1389059,55533149,49646655,89.40
SRR1389218,50735555,47379574,93.38
SRR1389348,34812015,32715985,93.97
SRR1389979,30533679,28525766,93.42
SRR1390516,47891213,42401435,88.53
SRR1390582,27911027,25485484,91.30
SRR1390601,46341411,41588903,89.74
SRR1391598,38599382,36058001,93.41
SRR1391639,38588161,36224114,93.87
SRR1391769,34086396,32027276,93.95
SRR1391879,77576460,73424825,94.64
SRR1391922,52478984,43723112,83.31
SRR1392637,45109757,40259253,89.24
SRR1392725,37342476,32034574,85.78
SRR1392985,44752709,41915319,93.65
SRR1393068,43587983,40820888,93.65
SRR1393553,34000604,31516040,92.69
SRR1394147,44573228,33978059,76.22
SRR1394297,71065071,63878802,89.88
SRR1394343,47243081,41128114,87.05
SRR1394450,50020096,42998963,85.96
SRR1394566,57138744,46599716,81.55
SRR1394677,34663540,32393857,93.45
SRR1394713,53915791,51605477,95.71
SRR1394755,34232552,32043852,93.60
SRR1394799,44030269,40985484,93.08
SRR1394936,46191337,44231854,95.75
SRR1395834,36773236,34664517,94.26
SRR1395951,68639247,65533172,95.47
SRR1396078,43816000,38795932,88.54
SRR1396123,59255569,56614877,95.54
SRR1396595,42377572,38305146,90.39
SRR1396640,33337266,30409634,91.21
SRR1396659,39104891,34115497,87.24
SRR1397008,54148506,50901826,94.00
SRR1397073,32249068,29093640,90.21
SRR1397094,62240059,59479927,95.56
SRR1397266,40947657,37291093,91.07
SRR1397906,38300689,34197382,89.28
SRR1398157,33684045,30634237,90.94
SRR1398411,38649120,35765578,92.53
SRR1398839,31286789,29594948,94.59
SRR1398992,49882720,46035526,92.28
SRR1399028,39601598,35779092,90.34
SRR1399051,46012881,43905255,95.41
SRR1399092,35647707,32170240,90.24
SRR1399201,45148960,38702735,85.72
SRR1399779,44777106,42769568,95.51
SRR1399904,41482085,33408793,80.53
SRR1400245,49909430,45268416,90.70
SRR1400269,80693444,77481430,96.01
SRR1400375,38748421,35094886,90.57
SRR1400997,29742627,27811661,93.50
SRR1401062,45518945,38992467,85.66
SRR1401276,41837155,38954754,93.11
SRR1401295,43467492,35145126,80.85
SRR1401424,40376591,36847087,91.25
SRR1401552,42834063,37879663,88.43
SRR1401953,34216233,31266444,91.37
SRR1402239,37764237,32554541,86.20
SRR1402454,45344535,41498304,91.51
SRR1402473,40729553,38755153,95.15
SRR1402513,34212728,29738999,86.92
SRR1402840,37277380,35021093,93.94
SRR1402882,44739890,42518017,95.03
SRR1402900,39059967,35921912,91.96
SRR1403050,52193761,47879173,91.73
SRR1403222,46331389,44101790,95.18
SRR1403831,44352044,40634408,91.61
SRR1403875,49215159,47013041,95.52
SRR1403915,42548547,39641454,93.16
SRR1403958,39736988,36077421,90.79
SRR1404168,41090473,37911176,92.26
SRR1404601,61411055,57427586,93.51
SRR1404640,50843063,44753078,88.02
SRR1404969,45692936,38264672,83.74
SRR1405007,42473493,38633773,90.95
SRR1405224,36561006,32843295,89.83
SRR1405485,40222228,36809899,91.51
SRR1406561,40349815,36601915,90.71
SRR1406917,47529921,44230240,93.05
SRR1406976,41581491,38628457,92.89
SRR1407134,34773981,30447339,87.55
SRR1407315,41874160,38597145,92.17
SRR1407560,66284467,62980898,95.01
SRR1408113,40108669,36305129,90.51
SRR1408208,50821307,47210825,92.89
SRR1408285,42867624,40653955,94.83
SRR1408327,46614412,42100246,90.31
SRR1408368,42310764,38618342,91.27
SRR1408769,37475888,31614347,84.35
SRR1409282,53074044,50648875,95.43
SRR1409305,37977338,35458087,93.36
SRR1409351,43556695,38453416,88.28
SRR1409534,30900440,28900595,93.52
SRR1409899,35464068,32367326,91.26
SRR1410264,45776329,41602333,90.88
SRR1410448,54969589,52517328,95.53
SRR1410656,39609101,36356567,91.78
SRR1410783,50143147,47828177,95.38
SRR1410912,37699156,29603152,78.52
SRR1410934,57814940,54558094,94.36
SRR1410956,34468203,31887623,92.51
SRR1411024,39000274,35459395,90.92
SRR1413414,46914948,37192962,79.27
SRR1413454,104437357,90754846,86.89
SRR1413522,37777703,33650543,89.07
SRR1413562,42106121,38817140,92.18
SRR1413625,37256782,33508505,89.93
SRR1413768,47190904,45083246,95.53
SRR1413959,42277763,39452858,93.31
SRR1414424,34934911,30906815,88.46
SRR1414595,53392702,50100575,93.83
SRR1414684,41677545,36896107,88.52
SRR1414833,47049324,42471351,90.26
SRR1414897,40804967,37928311,92.95
SRR1415095,56001224,51936182,92.74
SRR1415215,47581290,44933907,94.43
SRR1415234,36714699,32131874,87.51
SRR1415337,54716609,52232795,95.46
SRR1415732,43048256,39556762,91.88
SRR1415832,36580437,33053376,90.35
SRR1415895,33594781,31435741,93.57
SRR1416096,41914251,37440353,89.32
SRR1416410,43605238,39310112,90.14
SRR1416434,35784023,33354674,93.21
SRR1416477,33554895,31559024,94.05
SRR1416754,46390830,43185590,93.09
SRR1416889,33538428,30308899,90.37
SRR1416999,43499032,39736156,91.34
SRR1417047,44479267,39198138,88.12
SRR1417070,42424767,39115857,92.20
SRR1417111,38998925,35665780,91.45
SRR1417202,43234205,34144265,78.97
SRR1417505,40957303,36764812,89.76
SRR1417827,45149477,41504350,91.92
SRR1417912,55132262,49445193,89.68
SRR1417981,45026434,39850404,88.50
SRR1418127,44620660,41879369,93.85
SRR1418283,47507091,43623881,91.82
SRR1418604,41878704,37762232,90.17
SRR1418818,39347275,36748161,93.39
SRR1418837,37136109,34007945,91.57
SRR1418923,45006951,37529864,83.38
SRR1418992,53178400,43898983,82.55
SRR1419148,41293150,39559886,95.80
SRR1419187,30213149,27640776,91.48
SRR1419675,51700073,48016671,92.87
SRR1419714,58058980,54834482,94.44
SRR1419893,46024855,42058084,91.38
SRR1420215,60716331,58132534,95.74
SRR1420493,48067013,43850307,91.22
SRR1420625,49447530,44904665,90.81
SRR1420891,43531149,38688977,88.87
SRR1420984,54205602,49670908,91.63
SRR1421093,41727953,36811464,88.21
SRR1421140,45909655,41830948,91.11
SRR1421177,33302563,30141073,90.50
SRR1421198,39699164,37291362,93.93
SRR1421305,33179858,30599116,92.22
SRR1421351,38008997,34150196,89.84
SRR1421375,44475520,39130073,87.98
SRR1429162,39015991,34933334,89.53
SRR1429244,55846243,52049222,93.20
SRR1429307,50050710,45821701,91.55
SRR1429329,41653171,38857019,93.28
SRR1429641,48056671,44002051,91.56
SRR1429725,39254523,34141924,86.97
SRR1429891,61406625,58647121,95.50
SRR1429935,71652583,67417834,94.08
SRR1429957,70172611,66234016,94.38
SRR1430248,30330852,27990881,92.28
SRR1430288,35716463,31644378,88.59
SRR1430570,32714074,30760488,94.02
SRR1430817,41489600,34105281,82.20
SRR1430884,37767196,34274587,90.75
SRR1430972,34675898,31651813,91.27
SRR1431183,38083042,30313710,79.59
SRR1431229,42120664,37822875,89.79
SRR1431307,40317368,36917622,91.56
SRR1431345,56380369,53942957,95.67
SRR1431366,38570901,35110823,91.02
SRR1431717,43223612,41283115,95.51
SRR1432067,46791992,44669433,95.46
SRR1432123,61186596,57749441,94.38
SRR1432275,45266148,39654440,87.60
SRR1432321,42003056,32824356,78.14
SRR1432343,71107250,62147725,87.39
SRR1432765,34514821,29174471,84.52
SRR1432823,53632338,51361150,95.76
SRR1433088,34462237,32671474,94.80
SRR1433431,52283837,50161343,95.94
SRR1433600,73248240,69814566,95.31
SRR1433644,46792430,43299704,92.53
SRR1433750,34687615,31690355,91.35
SRR1433796,39476051,34534220,87.48
SRR1433971,36997642,34974673,94.53
SRR1434138,45121665,38006314,84.23
SRR1434250,62333688,54105068,86.79
SRR1434271,34603384,32729553,94.58
SRR1434484,44746758,37540765,83.89
SRR1434526,38682757,35494941,91.75
SRR1434782,55921081,53431682,95.54
SRR1434803,39700693,36981081,93.14
SRR1434867,40653985,35358753,86.97
SRR1434934,48692229,46662311,95.83
SRR1435020,52971274,47841247,90.31
SRR1435293,51142650,47108056,92.11
SRR1435484,34407243,31490995,91.52
SRR1435536,39809546,35546387,89.29
SRR1435753,40385392,36442774,90.23
SRR1435775,35607143,32750750,91.97
SRR1435884,77401524,71879113,92.86
SRR1435901,48602917,44600572,91.76
SRR1436106,141592301,132363717,93.48
SRR1436394,35104517,32052603,91.30
SRR1436444,42216209,38057253,90.14
SRR1436966,47313490,43727291,92.42
SRR1437306,49431776,45627637,92.30
SRR1437538,37962530,34527386,90.95
SRR1437555,50633963,48738460,96.25
