001,43191144
002,57634356
003,24865608
004,44694497
005,63029630
006,55005731
007,51332059
008,45431999
009,40378688
010,96856627
012,37525157
013,51290802
014,36348095
015,26187950
017,38343610
018,49601113
019,37855469
020,38685655
021,43401376
023,35767769
024,50953361
025,59318785
026,93704220
028,79780611
029,39446562
033,65513301
034,62577545
036,43179549
037,100339513
038,57167696
040,66734459
041,47558567
043,33661289
044,60630583
045,57491869
046,42557329
047,73202525
048,45027114
049,42193600
051,36941704
052,58262397
053,35057584
054,58241636
055,40384461
056,64651094
057,53959333
058,50851489
059,58011922
060,57642242
061,53183440
062,56614258
063,44612382
064,51764805
065,61048722
067,51353062
068,48008422
069,55727012
070,55273808
071,49969669
072,56178950
073,31088419
074,48660052
075,61170339
076,46061270
077,60519241
079,46427703
080,53355560
083,57870929
084,60102
086,44200748
087,55883644
089,59572877
090,45141708
091,20575914
092,43153812
093,55452592
094,72111341
095,61008265
096,62293913
097,44153276
098,55936581
099,68454079
100,32683873
101,51492562
102,57062690
103,47955470
104,62995814
105,38876118
106,46015229
107,41198478
108,54465577
110,39830946
111,58674818
112,46883185
113,56387705
114,53462333
115,56827120
116,37631411
117,35685944
119,115597815
120,55790365
122,54890725
123,43835058
124,53150308
125,52201629
126,57881693
127,61782870
128,58459407
129,61367050
130,53739182
132,60868896
133,52084323
134,54014685
135,56112024
137,59386307
139,45202540
141,48440725
142,61036537
143,56131287
144,55035355
145,53239627
146,47432497
147,31827154
150,49603480
151,58348118
152,53390045
153,48336700
155,51800577
156,58125155
157,44755295
158,55203783
159,46435143
160,44867113
161,47520426
162,53550108
163,54773642
164,56199594
165,47669346
166,45997307
167,51030169
168,52613746
169,58856178
170,74614973
171,36249786
173,41767302
174,45892666
175,39150510
176,49118622
178,42102293
179,37546940
180,51481816
181,45314302
182,42763227
183,52725613
184,44974924
185,36589504
186,42282280
187,41404798
188,48581302
189,44645460
190,45591420
191,47714323
192,30962701
193,48260289
194,48181894
197,53870704
198,32705090
199,47027902
200,47550460
201,44072052
202,42172110
203,36507218
204,72212899
205,41442835
206,46763159
207,44617673
208,48898128
209,37046334
210,43443982
212,46322840
213,47374650
214,42577500
215,42355010
216,37544784
217,43012150
218,39160938
219,41161421
221,40236115
222,44572046
224,41003600
225,39432210
226,31071109
227,73582638
228,39811903
230,30057497
231,41913645
232,40039922
233,41176667
234,48618755
235,43369660
