study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	sample_title	bam_ftp
PRJNA689664	SAMN17213847	SRX9789065	SRR13364875	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/075/SRR13364875/SRR13364875.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/075/SRR13364875	sample_output_PED_110_TR2	
PRJNA689664	SAMN17214183	SRX9789329	SRR13364876	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/076/SRR13364876/SRR13364876.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/076/SRR13364876	sample_output_PED_53_TR2	
PRJNA689664	SAMN17214173	SRX9789318	SRR13364887	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/087/SRR13364887/SRR13364887.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/087/SRR13364887	sample_output_PED_49_TR2	
PRJNA689664	SAMN17214184	SRX9789330	SRR13364874	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/074/SRR13364874/SRR13364874.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/074/SRR13364874	sample_output_PED_54_TR1	
PRJNA689664	SAMN17214172	SRX9789317	SRR13364888	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/088/SRR13364888/SRR13364888.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/088/SRR13364888	sample_output_PED_49_TR1	
PRJNA689664	SAMN17214182	SRX9789328	SRR13364877	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/077/SRR13364877/SRR13364877.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/077/SRR13364877	sample_output_PED_53_TR1	
PRJNA689664	SAMN17214171	SRX9789316	SRR13364889	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/089/SRR13364889/SRR13364889.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/089/SRR13364889	sample_output_PED_48_TR2	
PRJNA689664	SAMN17214170	SRX9789315	SRR13364890	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/090/SRR13364890/SRR13364890.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/090/SRR13364890	sample_output_PED_48_TR1	
PRJNA689664	SAMN17214179	SRX9789325	SRR13364880	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/080/SRR13364880/SRR13364880.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/080/SRR13364880	sample_output_PED_51_TR2	
PRJNA689664	SAMN17213788	SRX9789310	SRR13364895	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/095/SRR13364895/SRR13364895.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/095/SRR13364895	sample_output_Bead8-G12_TR1	
