id	filename	md5	size	state
000b47b6-7121-492a-916b-3cfdd3501702	000b47b6-7121-492a-916b-3cfdd3501702.vcf.gz	bf03faa2a2a8f399486d7e1763964330	33404	validated
00147031-4db4-4cfa-ab58-50c2585a94df	00147031-4db4-4cfa-ab58-50c2585a94df.vcf	34730bae72bb6dc88f1166b5c6bca573	822142	validated
002275bb-d020-4d91-9d0c-33615a83c7ae	002275bb-d020-4d91-9d0c-33615a83c7ae.vep.vcf.gz	e3ba13a4e9242c793a5b81e433cbfc49	319538	validated
002ae444-7403-4522-998b-1f863cdb0b6a	002ae444-7403-4522-998b-1f863cdb0b6a.vcf	1b52069eafe3965e09bc9cb661c840ec	230757	validated
003606cf-5f5d-4979-9743-b15e794082c0	003606cf-5f5d-4979-9743-b15e794082c0.vcf.gz	186253f9db641f39a1266282f51f6250	37537	validated
003aaca3-60df-421b-87ca-30e7d3a6abd3	003aaca3-60df-421b-87ca-30e7d3a6abd3.vep.vcf.gz	4acd06b37630e8191b9cab986a782484	997191	validated
003d15b6-1f99-4d96-9403-c99fc7758cdb	003d15b6-1f99-4d96-9403-c99fc7758cdb.vcf	61a393950d9e627de6fad2de14d1081c	1332912	validated
004f1229-4e0b-4397-b120-0f56db92f470	004f1229-4e0b-4397-b120-0f56db92f470.vcf.gz	37b40008799c31ab3af478427f1ed18b	569900	validated
006fb164-7dd4-4262-99c6-6ca1c706341a	006fb164-7dd4-4262-99c6-6ca1c706341a.vcf.gz	7a940086fb4c7aa51a8d9b0ca5e6c7d7	168781	validated
00770e60-b9cf-472d-922a-e50bad3d17ab	00770e60-b9cf-472d-922a-e50bad3d17ab.vcf	5554dbb4847afe667e95af818444a6b6	222250	validated
0079801c-5994-4926-9d0b-a07d7715c18e	0079801c-5994-4926-9d0b-a07d7715c18e.vcf.gz	1ce5aa0759bde62b7c80abe64db2fc5d	167341	validated
0085c844-82bf-414a-bc05-5e7488a70c25	0085c844-82bf-414a-bc05-5e7488a70c25.vcf	8f514e6a4b6b98be0f55842e58edd468	222340	validated
008c0c76-c676-427f-b22c-f032992f0fd9	008c0c76-c676-427f-b22c-f032992f0fd9.vep.vcf.gz	1bdf24c1851593710478536473d41673	711752	validated
